unixtime;input;time;count;delta_t;ESP_CC;delta_cc;cc_overflow_count;time_print[all_mikrosec]
1615395138.6170554;9;3095182065;2951;112714965;1061200952;845699907;115;160
1615395138.878933;9;3095444014;2952;261949;1103077460;41876508;115;136
1615395139.140471;9;3095705685;2953;261671;1144944708;41867248;115;98
1615395139.5922415;ErrorTooManyB;3096158968;;;2;0;654
1615395139.5951169;9;3096159722;2954;454037;1217573348;72628640;115;89
1615395144.600567
1615395149.6030006
1615395150.2077224;9;3106773116;2955;10613394;2914870915;1697297567;115;170
1615395150.451414;9;3107016915;2956;243799;2953843281;38972366;115;137
1615395150.6098309;9;3107175697;2957;158782;2979230800;25387519;115;98
1615395150.7553666;9;3107320942;2958;145245;3002469980;23239180;115;82
1615395150.8765266;9;3107442087;2959;121145;3021853192;19383212;115;85
1615395150.9950418;9;3107560588;2960;118501;3040795890;18942698;115;109
1615395151.0982223;9;3107663867;2961;103279;3057320626;16524736;115;81
1615395151.2113156;9;3107777093;2962;113226;3075436758;18116132;115;82
1615395151.3041618;9;3107869658;2963;92565;3090247140;14810382;115;81
1615395151.4037771;9;3107969494;2964;99836;3106203488;15956348;115;92
1615395151.4886665;9;3108054780;2965;85286;3119849258;13645770;115;83
1615395151.5742505;9;3108139942;2966;85162;3133475244;13625986;115;80
1615395151.6490679;9;3108214649;2967;74707;3145428300;11953056;115;81
1615395151.72611;9;3108291431;2968;76782;3157713500;12285200;115;80
1615395151.7958758;9;3108361473;2969;70042;3168911544;11198044;115;92
1615395151.8716137;9;3108437435;2970;75962;3181065308;12153764;115;100
1615395151.9414272;9;3108507207;2971;69772;3192228852;11163544;115;80
1615395152.0190973;9;3108586040;2972;78833;3204833241;12604389;115;131
1615395152.021895;9;3108586365;2973;325;3204885165;51924;115;73
1615395152.0229502;9;3108586762;2974;397;3204948663;63498;115;73
1615395152.1785789;9;3108744374;2975;157612;3230149225;25200562;115;137
1615395152.25058;9;3108816265;2976;71891;3241651793;11502568;115;81
1615395152.3383083;9;3108903859;2977;87594;3255649186;13997393;115;120
1615395152.415592;9;3108980889;2978;77030;3267973914;12324728;115;80
1615395152.4995744;9;3109065823;2979;84934;3281545719;13571805;115;123
1615395152.5785506;9;3109144509;2980;78686;3294135527;12589808;115;80
1615395152.6597548;9;3109225133;2981;80624;3307017596;12882069;115;119
1615395152.812792;9;3109378661;2982;153528;3331564487;24546891;115;125
1615395152.9651918;9;3109531124;2983;152463;3355940750;24376263;115;122
1615395153.118189;9;3109683840;2984;152716;3380357655;24416905;115;126
1615395153.182076;9;3109747918;2985;64078;3390610161;10252506;115;81
1615395153.2597885;9;3109825764;2986;77846;3403047790;12437629;115;120
1615395153.4085395;9;3109974429;2987;148665;3426816589;23768799;115;125
1615395153.4758003;9;3110041648;2988;67219;3437571543;10754954;115;81
1615395153.5532455;9;3110119001;2989;77353;3449930418;12358875;115;104
1615395153.6177502;9;3110183798;2990;64797;3460297952;10367534;115;80
1615395153.6885881;9;3110254353;2991;70555;3471586674;11288722;115;80
1615395153.7556434;9;3110321579;2992;67226;3482342900;10756226;115;81
1615395153.8232386;9;3110389190;2993;67611;3493160640;10817740;115;80
1615395153.8906882;9;3110456574;2994;67384;3503942090;10781450;115;80
1615395153.9603477;9;3110526075;2995;69501;3515044788;11102698;115;104
1615395154.0260637;9;3110591802;2996;65727;3525561104;10516316;115;81
1615395154.1021202;9;3110667650;2997;75848;3537696790;12135686;115;81
1615395154.2474184;9;3110813238;2998;145588;3560990994;23294204;115;82
1615395154.3081353;9;3110873793;2999;60555;3570671054;9680060;115;95
1615395154.3866744;9;3110952523;3000;78730;3583259228;12588174;115;85
1615395154.444902;9;3111011106;3001;58583;3592632470;9373242;115;80
1615395154.520878;9;3111087223;3002;76117;3604811168;12178698;115;81
1615395154.581047;9;3111147052;3003;59829;3614383766;9572598;115;79
1615395154.6467497;9;3111212941;3004;65889;3624926060;10542294;115;81
1615395154.7686217;9;3111334562;3005;121621;3644376768;19450708;115;98
1615395154.8854296;9;3111451562;3006;117000;3663096644;18719876;115;97
1615395154.9891384;9;3111554957;3007;103395;3679630881;16534237;115;137
