unixtime;input;ESP_CC;cc_overflow_count;
1622135512.583648;3;3187570868;0;
1622135512.5855181;3;3187619102;0;
1622135512.6207814;3;3193627240;0;
1622135512.622261;3;3193637144;0;
1622135512.6237905;3;3193657168;0;
1622135512.7125156;2;3208236956;0;
1622135512.7143855;2;3208260730;0;
1622135512.762613;3;3216037587;0;
1622135512.7713552;2;3217635683;0;
1622135512.7729619;2;3217644199;0;
1622135512.7740479;2;3217656721;0;
1622135512.831044;1;3226912490;0;
1622135512.8479002;3;3229658069;0;
1622135512.8783364;2;3234781037;0;
1622135512.879778;2;3234797515;0;
1622135512.897833;1;3237617116;0;
1622135512.9263341;3;3242184145;0;
1622135512.9552112;2;3247101607;0;
1622135512.957028;2;3247113039;0;
1622135512.9829397;1;3251244684;0;
1622135513.014601;3;3256315543;0;
1622135513.0268254;2;3258553145;0;
1622135513.028349;2;3258565417;0;
1622135513.0572948;1;3263149164;0;
1622135513.0713868;3;3265312905;0;
1622135513.1069317;2;3271106359;0;
1622135513.1195703;1;3273178217;0;
1622135513.1567774;3;3279014000;0;
1622135513.1620786;2;3279808440;0;
1622135513.1953132;1;3285279975;0;
1622135513.2014027;3;3286085778;0;
1622135513.2390163;2;3292192368;0;
1622135513.2454052;1;3293177543;0;
1622135513.2812402;3;3299224516;0;
1622135513.283048;2;3299245376;0;
1622135513.3172762;1;3305010319;0;
1622135513.3190405;3;3305047762;0;
1622135513.358144;2;3311310618;0;
1622135513.3594499;1;3311579585;0;
1622135513.3955948;2;3317201650;0;
1622135513.4290216;3;3322615093;0;
1622135513.4314854;1;3323050692;0;
1622135513.4664123;1;3328665838;0;
1622135513.468066;2;3328898151;0;
1622135513.500487;2;3334011123;0;
1622135513.5052574;3;3334817979;0;
1622135513.5324101;3;3339117174;0;
1622135513.5366967;1;3339839269;0;
1622135513.567716;1;3344767414;0;
1622135513.5714498;2;3345289391;0;
1622135513.5990689;2;3349816251;0;
1622135513.6058302;3;3350866795;0;
1622135513.6295216;3;3354737613;0;
1622135513.6356175;1;3355675270;0;
1622135513.6631773;1;3360093098;0;
1622135513.6681147;2;3360814829;0;
1622135513.6935565;2;3364917446;0;
1622135513.7009985;3;3366092068;0;
1622135513.723245;3;3369610707;0;
1622135513.7295434;1;3370711196;0;
1622135513.7555575;1;3374780188;0;
1622135513.761048;2;3375657539;0;
1622135513.7843342;2;3379426937;0;
1622135513.7920332;3;3380695377;0;
1622135513.8128574;3;3383981557;0;
1622135513.8203075;1;3385169144;0;
1622135513.8440642;1;3388943651;0;
1622135513.8500268;2;3389948156;0;
1622135513.8719742;2;3393481849;0;
1622135513.8807383;3;3394828211;0;
1622135513.8995655;3;3397876861;0;
1622135513.9073362;1;3399131090;0;
1622135513.9294624;1;3402671728;0;
1622135513.9369562;2;3403752275;0;
1622135513.9572735;2;3407053887;0;
1622135513.984031;3;3411342894;0;
1622135513.9928586;1;3412665899;0;
1622135514.0127764;1;3415970914;0;
1622135514.0393176;2;3420211085;0;
1622135514.0487154;3;3421678285;0;
1622135514.0648596;3;3424364143;0;
1622135514.0739973;1;3425767064;0;
1622135514.0939283;1;3428878962;0;
1622135514.1016243;2;3430089899;0;
1622135514.119463;2;3432985223;0;
1622135514.1446168;3;3437016668;0;
1622135514.1534672;1;3438447829;0;
1622135514.1718547;1;3441357008;0;
1622135514.1799862;2;3442647041;0;
1622135514.1974154;2;3445382135;0;
1622135514.2063978;3;3446923725;0;
1622135514.221425;3;3449297865;0;
1622135514.232024;1;3450761410;0;
1622135514.2475173;1;3453524636;0;
1622135514.2559526;2;3454842831;0;
1622135514.2718246;2;3457433217;0;
1622135514.2819026;3;3459006928;0;
1622135514.296116;3;3461264798;0;
1622135514.3054538;1;3462761343;0;
1622135514.321774;1;3465359862;0;
1622135514.3302264;2;3466702641;0;
1622135514.3455522;2;3469162041;0;
1622135514.3554418;3;3470758749;0;
1622135514.3689642;3;3472904441;0;
1622135514.3788424;1;3474438340;0;
1622135514.3947666;1;3476917342;0;
1622135514.402897;2;3478298029;0;
1622135514.4170368;2;3480619747;0;
1622135514.4273221;3;3482229171;0;
1622135514.4398484;3;3484263436;0;
1622135514.4494321;1;3485805465;0;
1622135514.46434;1;3488165980;0;
1622135514.4732726;2;3489582255;0;
1622135514.4871705;2;3491803997;0;
1622135514.4975302;3;3493429031;0;
1622135514.5090094;3;3495368891;0;
1622135514.5189376;1;3496918600;0;
1622135514.5332747;1;3499184176;0;
1622135514.5424066;2;3500611451;0;
1622135514.5552306;2;3502733391;0;
1622135514.5775018;3;3506249595;0;
1622135514.5876074;1;3507812141;0;
1622135514.6008515;1;3509962555;0;
1622135514.6095693;2;3511403350;0;
1622135514.622239;2;3513422877;0;
1622135514.632659;3;3515072469;0;
1622135514.6435716;3;3516839425;0;
1622135514.6535497;1;3518437612;0;
1622135514.6664164;1;3520480028;0;
1622135514.6756725;2;3521941751;0;
1622135514.687431;2;3523850621;0;
1622135514.708311;3;3527185475;0;
1622135514.719746;1;3528778386;0;
1622135514.7398684;2;3532195482;0;
1622135514.750903;2;3534020322;0;
1622135514.7715354;3;3537259031;0;
1622135514.781957;1;3538854654;0;
1622135514.8138502;2;3543932757;0;
1622135514.8333502;3;3547128465;0;
1622135514.8430705;1;3548730362;0;
1622135514.8637323;2;3551985105;0;
1622135514.8748012;2;3553652387;0;
1622135514.8840709;3;3555300318;0;
1622135514.8931937;3;3556762588;0;
1622135514.903205;1;3558375733;0;
1622135514.923941;2;3561557225;0;
1622135514.9331465;2;3563148523;0;
1622135514.952322;3;3566207447;0;
1622135514.962584;1;3567808792;0;
1622135514.9821723;2;3570946015;0;
1622135514.9919207;2;3572481197;0;
1622135515.002238;3;3574131581;0;
1622135515.0102224;3;3575470413;0;
1622135515.0202494;1;3577066374;0;
1622135515.0398488;2;3580140205;0;
1622135515.0488055;2;3581614427;0;
1622135515.0676665;3;3584570221;0;
1622135515.0772252;1;3586168002;0;
1622135515.1051443;2;3590589495;0;
1622135515.1227922;3;3593485811;0;
1622135515.1330929;1;3595089614;0;
1622135515.1514833;2;3598039379;0;
1622135515.15978;2;3599407265;0;
1622135515.170314;3;3601043793;0;
1622135515.177709;3;3602252881;0;
1622135515.1876526;1;3603845722;0;
1622135515.2060676;2;3606758361;0;
1622135515.2144186;2;3608081765;0;
1622135515.2321754;3;3610878457;0;
1622135515.241812;1;3612462428;0;
1622135515.2675643;2;3616605659;0;
1622135515.2778606;3;3618238210;0;
1622135515.2849348;3;3619370826;0;
1622135515.2954514;1;3620953017;0;
1622135515.32037;2;3624997237;0;
1622135515.3305156;3;3626620581;0;
1622135515.3367949;3;3627719533;0;
1622135515.3468616;1;3629304548;0;
