unixtime;input;ESP_CC;cc_overflow_count;
1622128048.7623398;2;1188703835;1;
1622128048.764047;2;1188756669;1;
1622128048.7654133;2;1188769077;1;
1622128048.7665496;2;1188779379;1;
1622128048.7673419;2;1188787547;1;
1622128048.7679605;2;1188795807;1;
1622128048.768565;2;1188803891;1;
1622128048.7691243;2;1188818683;1;
1622128048.769692;2;1188824949;1;
1622128048.7702258;2;1188831775;1;
1622128048.7829225;2;1192075459;1;
1622128048.7836306;2;1192081701;1;
1622128048.7842727;2;1192089887;1;
1622128048.7847445;2;1192101447;1;
1622128048.7852633;2;1192112451;1;
1622128048.7856648;2;1192124789;1;
1622128048.7861328;2;1192145665;1;
1622128048.786899;2;1192172767;1;
1622128048.795371;3;1193777609;1;
1622128048.8623588;1;1204462973;1;
1622128048.8784895;3;1206991842;1;
1622128048.9101427;2;1212113831;1;
1622128048.9294357;1;1215122012;1;
1622128048.954775;3;1219207597;1;
1622128048.9854882;2;1224419083;1;
1622128048.9873688;2;1224430033;1;
1622128049.007105;1;1227621558;1;
1622128049.0417938;3;1233180795;1;
1622128049.0478659;2;1234406133;1;
1622128049.0491843;2;1234415675;1;
1622128049.0828383;1;1239733150;1;
1622128049.0890188;3;1240742663;1;
1622128049.1272678;2;1246829509;1;
1622128049.1331427;1;1247772072;1;
1622128049.1691005;2;1253723141;1;
1622128049.1707947;3;1253862105;1;
1622128049.2046144;3;1259359769;1;
1622128049.2057955;1;1259545104;1;
1622128049.242526;1;1265573092;1;
1622128049.2436836;2;1265634469;1;
1622128049.2777603;2;1270911714;1;
1622128049.282633;3;1271668190;1;
1622128049.309927;3;1276045696;1;
1622128049.3146632;1;1276788875;1;
1622128049.3453465;1;1281648517;1;
1622128049.3491075;2;1282252140;1;
1622128049.3760364;2;1286614808;1;
1622128049.4056501;3;1291360050;1;
1622128049.412023;1;1292392195;1;
1622128049.43799;1;1296505443;1;
1622128049.4436312;2;1297395986;1;
1622128049.466649;2;1301116098;1;
1622128049.4948266;3;1305591510;1;
1622128049.5017664;1;1306834997;1;
1622128049.5248485;1;1310365505;1;
1622128049.5310428;2;1311452778;1;
1622128049.551342;2;1314699410;1;
1622128049.560872;3;1316147608;1;
1622128049.5773757;3;1318899494;1;
1622128049.58726;1;1320287175;1;
1622128049.6060772;1;1323416427;1;
1622128049.6132805;2;1324635230;1;
1622128049.631691;2;1327498296;1;
1622128049.6564918;3;1331482905;1;
1622128049.6652994;1;1332937408;1;
1622128049.6843848;1;1335742174;1;
1622128049.691198;2;1337071647;1;
1622128049.7077088;2;1339664881;1;
1622128049.7170517;3;1341240407;1;
1622128049.7310896;3;1343463609;1;
1622128049.7407227;1;1344964700;1;
1622128049.7565908;1;1347517372;1;
1622128049.7654176;2;1348900215;1;
1622128049.7801821;2;1351264425;1;
1622128049.7900531;3;1352894091;1;
1622128049.8030903;3;1354939711;1;
1622128049.8128963;1;1356483766;1;
1622128049.8274455;1;1358816974;1;
1622128049.835972;2;1360231975;1;
1622128049.8506877;2;1362415305;1;
1622128049.872094;3;1365942131;1;
1622128049.8822289;1;1367524448;1;
1622128049.8950057;1;1369698902;1;
1622128049.9042413;2;1371142161;1;
1622128049.9174247;2;1373140914;1;
1622128049.938163;3;1376560854;1;
1622128049.9489658;1;1378145993;1;
1622128049.9608386;1;1380166603;1;
1622128049.9699986;2;1381648904;1;
1622128049.9820256;2;1383541094;1;
