unixtime;input;ESP_CC;cc_overflow_count;
1622128707.1493165;3;885854922;1;
1622128707.2149637;3;896443440;1;
1622128707.217941;1;896928623;1;
1622128707.2626066;2;904017771;1;
1622128707.2776477;1;906293042;1;
1622128707.3065848;3;911065173;1;
1622128707.337276;2;916231763;1;
1622128707.33954;2;916238251;1;
1622128707.358487;1;919425256;1;
1622128707.39353;3;924929216;1;
1622128707.3999119;2;925930388;1;
1622128707.433874;1;931394968;1;
1622128707.4377158;3;932010647;1;
1622128707.47728;2;938265697;1;
1622128707.479264;1;938712110;1;
1622128707.512692;2;944356981;1;
1622128707.513658;2;944373223;1;
1622128707.5177858;3;944873861;1;
1622128707.5480883;3;949598660;1;
1622128707.5509105;1;950182397;1;
1622128707.5830095;1;955279206;1;
1622128707.5863006;2;955814947;1;
1622128707.614238;2;960256411;1;
1622128707.6444921;3;965002931;1;
1622128707.6505928;1;966086006;1;
1622128707.675017;1;970030454;1;
1622128707.681217;2;970981410;1;
1622128707.7037477;2;974501400;1;
1622128707.7119138;3;975872501;1;
1622128707.7297378;3;978797765;1;
1622128707.7385433;1;980136776;1;
1622128707.7588956;1;983394160;1;
1622128707.766237;2;984586341;1;
1622128707.784711;2;987500429;1;
1622128707.7938335;3;989015323;1;
1622128707.8095393;3;991486709;1;
1622128707.8185723;1;992942320;1;
1622128707.8358006;1;995703233;1;
1622128707.8440928;2;997046356;1;
1622128707.8600993;2;999570094;1;
1622128707.8705204;3;1001150953;1;
1622128707.8830042;3;1003280455;1;
1622128707.8928156;1;1004802604;1;
1622128707.90825;1;1007220062;1;
1622128707.9169362;2;1008633375;1;
1622128707.9314141;2;1010848639;1;
1622128707.9527516;3;1014389551;1;
1622128707.9625764;1;1015955106;1;
1622128707.9758658;1;1018094844;1;
1622128707.9979267;2;1021520958;1;
1622128708.018305;3;1024867909;1;
1622128708.028492;1;1026468978;1;
1622128708.0497248;2;1029881147;1;
1622128708.0612395;2;1031664007;1;
1622128708.080827;3;1034868201;1;
1622128708.0909212;1;1036469776;1;
1622128708.1117558;2;1039739139;1;
1622128708.1217437;2;1041368003;1;
1622128708.1408107;3;1044430304;1;
1622128708.1506388;1;1046030569;1;
1622128708.1704276;2;1049161089;1;
1622128708.179919;2;1050688135;1;
1622128708.1988223;3;1053694077;1;
1622128708.2086215;1;1055293984;1;
1622128708.2279294;2;1058331993;1;
1622128708.2363465;2;1059777717;1;
1622128708.2546031;3;1062691665;1;
1622128708.2659347;1;1064298308;1;
1622128708.2836967;2;1067261529;1;
1622128708.2919874;2;1068616150;1;
1622128708.3019016;3;1070256754;1;
1622128708.3097706;3;1071459284;1;
1622128708.319808;1;1073041994;1;
1622128708.338008;2;1075939279;1;
1622128708.346356;2;1077241201;1;
1622128708.3635676;3;1080007833;1;
1622128708.3811607;1;1082909770;1;
1622128708.3908012;2;1084412067;1;
1622128708.3982706;2;1085651851;1;
1622128708.41538;3;1088374507;1;
1622128708.425099;1;1089949890;1;
1622128708.4426699;2;1092687800;1;
1622128708.4497986;2;1093874692;1;
1622128708.4664452;3;1096520079;1;
1622128708.4762292;1;1098094832;1;
1622128708.5002286;2;1101923035;1;
1622128708.5103939;3;1103524673;1;
1622128708.5166874;3;1104526209;1;
1622128708.5261452;1;1106083040;1;
1622128708.5429132;2;1108732073;1;
1622128708.5507982;2;1109826169;1;
1622128708.565543;3;1112371729;1;
1622128708.575357;1;1113918352;1;
1622128708.5914946;2;1116504708;1;
1622128708.597725;2;1117558790;1;
1622128708.6142118;3;1120074934;1;
1622128708.6237264;1;1121603962;1;
1622128708.6392596;2;1124139659;1;
1622128708.6454017;2;1125155723;1;
1622128708.6611226;3;1127621877;1;
1622128708.6705995;1;1129159558;1;
1622128708.692258;2;1132631489;1;
1622128708.7075934;3;1135056839;1;
1622128708.717244;1;1136579626;1;
1622128708.732528;2;1139045937;1;
1622128708.7390845;2;1139995957;1;
1622128708.7530856;3;1142372756;1;
1622128708.762687;1;1143883483;1;
1622128708.7841623;2;1147225753;1;
1622128708.7930992;3;1148778399;1;
1622128708.7983265;3;1149595469;1;
1622128708.8076448;1;1151099926;1;
1622128708.8226707;2;1153483239;1;
1622128708.828896;2;1154384741;1;
1622128708.838815;3;1155918565;1;
1622128708.8425012;3;1156710557;1;
1622128708.8580484;1;1159136762;1;
1622128708.8727906;2;1161439965;1;
1622128708.8868334;3;1163733925;1;
1622128708.8961616;1;1165219968;1;
1622128708.9160435;2;1168384493;1;
1622128708.9302514;3;1170626945;1;
1622128708.9392571;1;1172099916;1;
1622128708.9533012;2;1174371849;1;
1622128708.9584017;2;1175181257;1;
1622128708.9725611;3;1177397799;1;
1622128708.9811416;1;1178856700;1;
1622128708.9952626;2;1181083835;1;
1622128709.0007691;2;1181867133;1;
1622128709.013966;3;1184037117;1;
1622128709.022877;1;1185493614;1;
1622128709.0413215;2;1188434009;1;
1622128709.054782;3;1190570833;1;
1622128709.064068;1;1192007946;1;
1622128709.0773792;2;1194170645;1;
1622128709.0817838;2;1194901477;1;
1622128709.0947883;3;1196998599;1;
1622128709.1042023;1;1198423206;1;
1622128709.116955;2;1200549617;1;
1622128709.1218135;2;1201257263;1;
1622128709.134304;3;1203325186;1;
1622128709.1429267;1;1204738073;1;
1622128709.1608005;2;1207510286;1;
1622128709.1694071;3;1208937407;1;
1622128709.1733673;3;1209543423;1;
1622128709.186678;1;1211656766;1;
1622128709.1951656;2;1213009763;1;
1622128709.1990707;2;1213673503;1;
1622128709.21183;3;1215686351;1;
1622128709.2205117;1;1217080318;1;
1622128709.2371814;2;1219767935;1;
1622128709.249849;3;1221750319;1;
1622128709.262217;1;1223802990;1;
1622128709.274782;2;1225773341;1;
1622128709.286887;3;1227746891;1;
1622128709.2960107;1;1229121842;1;
1622128709.308192;2;1231097899;1;
1622128709.311889;2;1231717933;1;
1622128709.324695;3;1233658553;1;
1622128709.3322563;1;1235030132;1;
1622128709.344868;2;1236986461;1;
1622128709.3484895;2;1237587437;1;
1622128709.3609436;3;1239506423;1;
1622128709.3730958;1;1241482642;1;
1622128709.3846972;2;1243388619;1;
1622128709.3961864;3;1245277559;1;
1622128709.4049902;1;1246621838;1;
1622128709.4211316;2;1249106287;1;
1622128709.4321182;3;1250984137;1;
1622128709.4404376;1;1252319658;1;
1622128709.452433;2;1254205517;1;
1622128709.4563801;2;1254767863;1;
1622128709.4678626;3;1256618625;1;
