x-axis,1,2
second,Volt,Volt
+0.0E+00,+35.9802138E+00,+4.4764448E+00
+130.2E-06,+36.4324752E+00,+5.5317212E+00
+260.4E-06,+36.8344852E+00,+6.5869975E+00
+390.6E-06,+37.1862440E+00,+7.6422739E+00
+520.8E-06,+37.5882541E+00,+8.6975503E+00
+651.0E-06,+37.9902641E+00,+9.7528267E+00
+781.3E-06,+38.1912691E+00,+10.7578519E+00
+911.5E-06,+38.6435305E+00,+11.7628770E+00
+1.0417E-03,+38.8445355E+00,+12.8181534E+00
+1.1719E-03,+39.1460430E+00,+13.8734298E+00
+1.3021E-03,+39.4475506E+00,+14.8784549E+00
+1.4323E-03,+39.5983043E+00,+15.8332288E+00
+1.5625E-03,+39.6988068E+00,+16.7880027E+00
+1.6927E-03,+39.7993094E+00,+17.7930278E+00
+1.8229E-03,+39.9500631E+00,+18.7478017E+00
+1.9531E-03,+40.0505656E+00,+19.7025756E+00
+2.0833E-03,+40.1008169E+00,+20.6070982E+00
+2.2135E-03,+40.1008169E+00,+21.5618721E+00
+2.3438E-03,+40.1008169E+00,+22.3658922E+00
+2.4740E-03,+40.0003144E+00,+23.2704148E+00
+2.6042E-03,+39.8998119E+00,+24.1246861E+00
+2.7344E-03,+39.6988068E+00,+24.9287063E+00
+2.8646E-03,+39.6485556E+00,+25.7327264E+00
+2.9948E-03,+39.5480531E+00,+26.5367465E+00
+3.1250E-03,+39.2967968E+00,+27.2905153E+00
+3.2552E-03,+38.9952892E+00,+28.0442842E+00
+3.3854E-03,+38.7942842E+00,+28.7478018E+00
+3.5156E-03,+38.4425254E+00,+29.4513194E+00
+3.6458E-03,+38.0907666E+00,+30.1045857E+00
+3.7760E-03,+37.8395103E+00,+30.8081033E+00
+3.9063E-03,+37.3369978E+00,+31.5116209E+00
+4.0365E-03,+37.0857415E+00,+32.1146360E+00
+4.1667E-03,+36.5832289E+00,+32.7176510E+00
+4.2969E-03,+36.2817214E+00,+33.3206661E+00
+4.4271E-03,+35.8294600E+00,+33.8231787E+00
+4.5573E-03,+35.2766962E+00,+34.4764450E+00
+4.6875E-03,+34.7239324E+00,+34.9789576E+00
+4.8177E-03,+34.1209173E+00,+35.5819727E+00
+4.9479E-03,+33.5681535E+00,+35.9839827E+00
+5.0781E-03,+33.1158922E+00,+36.4362440E+00
+5.2083E-03,+32.5128771E+00,+36.8382541E+00
+5.3385E-03,+31.8093595E+00,+37.3407667E+00
+5.4688E-03,+31.2063444E+00,+37.8432792E+00
+5.5990E-03,+30.6535806E+00,+38.1447868E+00
