i;x;A; B1; B2; Sig; E; H1; H2; Je; Js; Mu1; Mu2; Pe; Ph;;mu;mo;r1u;r1o;r2u;r2o;r3u;r3o;l1u;l1o;l2u;l2o;l3u;l3o;
90;198;-0.005319823331642054;0.0004879999880424272;-0.1206409813518958;0;5791.045390984202;388.3380516286906;-96003.04260805692;0;0;1;1;0;0;;3.982207641596374e-006;3.754568795391403e-006;1.906765638186971e-006;1.886976934446768e-006;1.888910396218445e-006;1.866493440873211e-006;1.808799599964226e-006;1.760980940394879e-006;-1.747653181703588e-006;-1.618500606253371e-006;-1.862411558639139e-006;-1.817047551579865e-006;-1.908070077080988e-006;-1.881067108725788e-006
91;200.2;-0.005002085196800276;-0.0005747337122968992;-0.1542380471988172;0;9465.623071533844;-457.3585563680337;-122738.7381226641;0;0;1;1;0;0;;5.04025488219026e-006;4.714298641508611e-006;1.906969465938974e-006;1.887759407121938e-006;1.872663316147469e-006;1.845632721594097e-006;1.767882917866922e-006;1.700823491489817e-006;-1.693953717254573e-006;-1.498283412128576e-006;-1.836919669827793e-006;-1.776659583913444e-006;-1.900334685130195e-006;-1.870567143648387e-006
92;202.4;-0.004614062559197038;-6.203237787034868e-005;-0.1825618403379247;0;13261.11986443487;-49.36379784905146;-145278.0965486704;0;0;1;1;0;0;;6.009811713077366e-006;5.592549648696862e-006;1.902609511535079e-006;1.882557606196118e-006;1.850496000638738e-006;1.816098832777915e-006;1.714932420774206e-006;1.616930285416742e-006;-1.562323481710025e-006;-1.316587069484373e-006;-1.804684449524994e-006;-1.722548653380764e-006;-1.887663838004489e-006;-1.852538040585543e-006
93;204.6;-0.004265543520766076;-0.0002285072896504283;-0.204079393411103;0;16571.39213411185;-181.8403234019858;-162401.2212228631;0;0;1;1;0;0;;6.706672044554049e-006;6.367391623539203e-006;1.893633254652391e-006;1.871356278075832e-006;1.820754658625762e-006;1.77561437523693e-006;1.641256694830416e-006;1.492599587619442e-006;-1.1729797921004e-006;-1.06328683056787e-006;-1.76392691188304e-006;-1.646732965728264e-006;-1.870252850454188e-006;-1.826676227614741e-006
94;206.8;-0.003812981821564887;-0.0002265859515334631;-0.2195410752234784;0;19177.50818060379;-180.3113711086564;-174705.2366676311;0;0;1;1;0;0;;7.339292804279399e-006;7.053838358961866e-006;1.879311711439227e-006;1.852707692117168e-006;1.782927072380389e-006;1.719731716085731e-006;1.449750345351702e-006;1.297953683365742e-006;-7.382616672928994e-007;-7.696425423296031e-007;-1.714141408368947e-006;-1.53887626090048e-006;-1.847143817848166e-006;-1.790855495131089e-006
95;209;-0.003360237465296671;0.0001576697750647543;-0.2312715965417869;0;21281.63248886983;125.4696203887145;-184040.0889318994;0;0;1;1;0;0;;7.936012384621889e-006;7.671500868035542e-006;1.858998133661628e-006;1.826259180966173e-006;1.735864457897782e-006;1.644950797026556e-006;1.077216427495334e-006;1.022683911332196e-006;-3.046504787844965e-007;-4.819958248898151e-007;-1.641650870722267e-006;-1.380466148181362e-006;-1.817195157653732e-006;-1.740915086258892e-006
96;211.2;-0.002797592300350474;5.581977935132698e-005;-0.2396703274106717;0;22855.39346235316;44.419969030313;-190723.5865993068;0;0;1;1;0;0;;8.499756988371083e-006;8.227680041042356e-006;1.832710912556643e-006;1.789512943554372e-006;1.671603383922167e-006;1.536247244692061e-006;6.656437983032071e-007;7.129400734290333e-007;-1.120376337083165e-007;-2.38592818294134e-007;-1.312739583192328e-006;-1.149855011021234e-006;-1.78012939190079e-006;-1.672472219383004e-006
97;213.4;-0.002338430809097407;2.033132958634652e-005;-0.2457704476006827;0;24033.6351604107;16.17915801648774;-195577.9080077815;0;0;1;1;0;0;;9.028754625990304e-006;8.72008501183969e-006;1.797882392905411e-006;1.739331004615224e-006;1.544981449649726e-006;1.36637132767884e-006;2.919716220904228e-007;4.2467726832321e-007;-6.587519091714663e-009;-3.224888061698766e-008;-8.828181466952563e-007;-8.659159937821574e-007;-1.735748447674862e-006;-1.577626217504278e-006
98;215.6;-0.001804081916232314;4.029020785454939e-005;-0.2501196162817922;0;24891.76310014557;32.06192869125722;-199038.8664774767;0;0;1;1;0;0;;9.51578750591925e-006;9.135555300571384e-006;1.753664474103926e-006;1.670887461452332e-006;1.209855594261678e-006;1.115977158850007e-006;1.104102250387567e-007;1.91757841544021e-007;9.58550931729387e-008;1.679456474163177e-007;-4.374713302303206e-007;-5.721971495448652e-007;-1.679083622738333e-006;-1.438148809663369e-006
99;217.8;-0.001280252230533076;-1.83509170274073e-005;-0.253087326219991;0;25485.95652461056;-14.60319577590551;-201400.4950091131;0;0;1;1;0;0;;9.914735028461943e-006;9.448354144113205e-006;1.69703683893561e-006;1.573882777420968e-006;8.026318468027623e-007;8.14386502343281e-007;-1.271666230274159e-008;-1.721660715604291e-009;2.480557062926446e-007;3.984561745267604e-007;-1.465605717755067e-007;-3.118516709742e-007;-1.452323035324714e-006;-1.232609855092992e-006
100;220;-0.0007588684920570608;6.892899976864789e-006;-0.2548843641336163;0;25849.16565053217;5.485195517780211;-202830.5323434982;0;0;1;1;0;0;;1.001752989829831e-005;9.639428292243619e-006;1.610121928875993e-006;1.427786025067614e-006;3.95166107616818e-007;5.142628989170785e-007;-1.390851589852232e-007;-1.975922032836754e-007;6.565693850103804e-007;6.761734499284413e-007;-3.766272575617645e-008;-9.663107426480071e-008;-1.030210798573019e-006;-9.616553706290045e-007
