[1.464141 1.464141] ;12566;-3237;-10805
[1.467320 0.003179] ;12585;-3245;-10802
[1.516642 0.049322] ;12568;-3250;-10805
[1.546416 0.029774] ;12581;-3235;-10818
[1.557441 0.011025] ;12592;-3242;-10805
[1.575996 0.018555] ;12568;-3255;-10805
[1.585847 0.009851] ;12587;-3240;-10807
[1.616009 0.030162] ;12590;-3237;-10813
[1.635316 0.019307] ;12595;-3232;-10811
[1.645294 0.009978] ;12585;-3242;-10807
[1.656661 0.011366] ;12581;-3240;-10802
[1.674912 0.018251] ;12573;-3247;-10807
[1.735157 0.060245] ;12590;-3227;-10805
[1.784642 0.049486] ;12568;-3252;-10807
[1.814517 0.029875] ;12585;-3245;-10802
[1.864060 0.049543] ;12573;-3232;-10802
[1.893952 0.029892] ;12566;-3240;-10797
[1.913305 0.019353] ;12563;-3235;-10797
[1.923409 0.010104] ;12566;-3230;-10793
[1.933394 0.009985] ;12573;-3225;-10802
[1.983235 0.049841] ;12566;-3232;-10791
[2.013149 0.029914] ;12576;-3250;-10793
[2.032630 0.019481] ;12585;-3245;-10797
[2.042642 0.010012] ;12573;-3252;-10788
[2.053562 0.010920] ;12595;-3237;-10802
[2.071976 0.018414] ;12585;-3240;-10807
[2.082318 0.010342] ;12581;-3237;-10811
[2.092335 0.010016] ;12576;-3230;-10811
[2.103670 0.011336] ;12590;-3242;-10800
[2.122258 0.018588] ;12566;-3245;-10823
[2.132069 0.009811] ;12571;-3247;-10816
[2.162087 0.030018] ;12587;-3227;-10813
[2.181444 0.019357] ;12576;-3217;-10805
[2.191458 0.010015] ;12585;-3250;-10811
[2.202707 0.011248] ;12587;-3237;-10793
[2.252333 0.049626] ;12581;-3242;-10807
[2.270899 0.018566] ;12581;-3240;-10818
[2.330615 0.059716] ;12568;-3235;-10793
[2.360551 0.029937] ;12576;-3237;-10800
[2.410258 0.049707] ;12571;-3232;-10811
[2.439969 0.029711] ;12568;-3235;-10797
[2.451056 0.011087] ;12587;-3247;-10807
[2.469764 0.018708] ;12563;-3237;-10811
[2.479785 0.010021] ;12568;-3220;-10800
[2.529407 0.049622] ;12573;-3235;-10797
[2.559160 0.029753] ;12573;-3227;-10805
[2.578711 0.019550] ;12571;-3240;-10797
[2.588569 0.009858] ;12571;-3260;-10805
[2.599927 0.011358] ;12595;-3245;-10805
[2.618422 0.018495] ;12566;-3242;-10800
[2.628405 0.009982] ;12563;-3245;-10813
[2.638336 0.009932] ;12563;-3235;-10805
