unixtime;Bx;By;Bz
1615395495.8851461;-5633;-2565;5871
1615395495.9150393;-5655;-2950;5550
1615395495.9264388;-5657;-3100;5418
1615395495.9443183;-5652;-3355;5211
1615395495.9547932;-5647;-3480;5091
1615395495.9644923;-5645;-3620;4961
1615395495.9941308;-5607;-4042;4576
1615395496.0044308;-5618;-4182;4448
1615395496.01431;-5602;-4317;4307
1615395496.025406;-5581;-4475;4173
1615395496.0547047;-5531;-4895;3788
1615395496.0642726;-5491;-5030;3647
1615395496.0748985;-5488;-5195;3495
1615395496.0936003;-5433;-5460;3245
1615395496.103613;-5405;-5605;3100
1615395496.1135888;-5381;-5760;2952
1615395496.1437945;-5288;-6220;2508
1615395496.1537879;-5260;-6357;2361
1615395496.1632001;-5222;-6497;2208
1615395496.174412;-5170;-6682;2051
1615395496.1835144;-5125;-6800;1922
1615395496.213474;-4996;-7252;1465
1615395496.2246861;-4951;-7435;1285
1615395496.2530105;-4795;-7860;832
1615395496.2823942;-4621;-8305;365
1615395496.2923152;-4571;-8465;215
1615395496.3023121;-4511;-8602;58
1615395496.3124282;-4437;-8762;-108
1615395496.323531;-4383;-8935;-288
1615395496.352318;-4197;-9345;-735
1615395496.363058;-4115;-9502;-903
1615395496.373653;-4038;-9665;-1075
1615395496.402335;-3822;-10067;-1511
1615395496.4318018;-3570;-10492;-1991
1615395496.4511366;-3406;-10765;-2291
1615395496.4618733;-3313;-10897;-2451
1615395496.4915388;-3050;-11297;-2931
1615395496.5011468;-2955;-11425;-3083
1615395496.5112991;-2860;-11560;-3236
1615395496.522581;-2755;-11700;-3407
1615395496.5409653;-2572;-11935;-3666
1615395496.5508254;-2470;-12050;-3822
1615395496.561015;-2372;-12170;-3968
1615395496.5721397;-2251;-12310;-4146
1615395496.590509;-2051;-12520;-4418
1615395496.6004179;-1942;-12637;-4571
1615395496.6303842;-1623;-12967;-4977
1615395496.6605735;-1286;-13280;-5372
1615395496.6714153;-1146;-13390;-5538
1615395496.6896002;-935;-13570;-5783
1615395496.699672;-825;-13665;-5906
1615395496.70954;-692;-13752;-6042
1615395496.720632;-558;-13852;-6190
1615395496.7299292;-458;-13925;-6296
1615395496.7598786;-102;-14167;-6663
1615395496.7708254;38;-14252;-6788
1615395496.7994804;400;-14452;-7102
1615395496.8288524;772;-14657;-7440
1615395496.859039;1157;-14822;-7742
1615395496.870093;1307;-14880;-7837
1615395496.8889332;1538;-14977;-8012
1615395496.8982434;1657;-15022;-8113
1615395496.9085946;1797;-15060;-8216
1615395496.9195907;1935;-15107;-8292
1615395496.9380748;2185;-15170;-8453
1615395496.9485512;2311;-15190;-8532
1615395496.9579985;2438;-15217;-8622
1615395496.9693115;2591;-15255;-8696
1615395496.9981165;2960;-15302;-8913
1615395497.0280216;3337;-15350;-9086
1615395497.0774558;3970;-15365;-9372
1615395497.0878532;4096;-15345;-9410
1615395497.1068108;4342;-15315;-9497
1615395497.1370208;4711;-15250;-9611
1615395497.1467392;4825;-15227;-9655
1615395497.1567616;4943;-15200;-9682
1615395497.1680274;5085;-15177;-9712
1615395497.1968956;5426;-15075;-9770
1615395497.2267253;5766;-14940;-9818
1615395497.2567022;6103;-14777;-9841
1615395497.2671769;6225;-14717;-9851
1615395497.2858922;6430;-14597;-9848
1615395497.2961357;6536;-14522;-9843
1615395497.3067243;6627;-14455;-9830
1615395497.3170671;6765;-14370;-9830
1615395497.335802;6950;-14227;-9797
1615395497.3456795;7047;-14155;-9781
1615395497.3555388;7142;-14060;-9751
1615395497.3665674;7261;-13957;-9745
1615395497.3850436;7435;-13780;-9687
1615395497.3952096;7522;-13692;-9661
1615395497.4055607;7603;-13580;-9636
1615395497.416415;7725;-13465;-9595
1615395497.4348395;7886;-13270;-9508
1615395497.4450037;7953;-13165;-9472
1615395497.454843;8038;-13042;-9423
1615395497.465744;8138;-12907;-9377
1615395497.484489;8273;-12685;-9276
1615395497.4942863;8352;-12550;-9216
1615395497.5044725;8431;-12432;-9162
1615395497.5157478;8507;-12282;-9096
1615395497.5448105;8695;-11887;-8901
1615395497.5944803;8998;-11157;-8543
1615395497.6044292;9048;-10980;-8481
1615395497.6156168;9112;-10807;-8372
1615395497.6337929;9188;-10515;-8213
1615395497.6437948;9238;-10342;-8123
1615395497.653618;9277;-10185;-8033
1615395497.6648173;9343;-9980;-7931
1615395497.6832526;9407;-9655;-7745
1615395497.6932185;9446;-9475;-7636
1615395497.702979;9467;-9290;-7541
1615395497.7143185;9526;-9085;-7421
1615395497.7230806;9531;-8927;-7331
1615395497.7530293;9607;-8355;-7001
1615395497.764394;9631;-8152;-6873
1615395497.7933326;9662;-7582;-6543
1615395497.823452;9681;-6990;-6173
1615395497.832319;9697;-6790;-6051
1615395497.8634968;9710;-6150;-5656
1615395497.892048;9660;-5550;-5277
1615395497.9023328;9652;-5332;-5141
1615395497.9130533;9652;-5100;-4988
1615395497.9315586;9623;-4712;-4721
1615395497.9417365;9600;-4497;-4580
1615395497.952541;9581;-4275;-4446
1615395497.9813275;9486;-3630;-4018
1615395497.9909806;9467;-3407;-3862
1615395498.0011418;9431;-3192;-3726
1615395498.0123656;9396;-2940;-3550
1615395498.0412836;9272;-2310;-3111
1615395498.051314;9238;-2090;-2958
1615395498.062064;9191;-1837;-2795
1615395498.0802677;9096;-1427;-2506
1615395498.0905547;9048;-1222;-2367
1615395498.1005986;8987;-1002;-2211
1615395498.130466;8813;-360;-1751
1615395498.1402774;8758;-155;-1620
1615395498.1505704;8695;72;-1446
1615395498.1795018;8481;715;-982
1615395498.1896336;8407;922;-838
1615395498.199477;8338;1132;-670
1615395498.2396274;8033;1960;-83
1615395498.2496183;7953;2155;56
1615395498.2604215;7870;2387;228
1615395498.2694292;7785;2555;345
1615395498.2795649;7698;2757;508
1615395498.2893894;7598;2945;650
1615395498.2992828;7511;3152;811
1615395498.3107748;7401;3370;980
1615395498.3393254;7113;3937;1391
1615395498.3489695;7026;4125;1547
1615395498.3602908;6910;4317;1705
1615395498.3788505;6710;4662;1972
1615395498.3884585;6617;4842;2121
1615395498.3982568;6488;5027;2255
1615395498.4276168;6161;5552;2680
1615395498.4379098;6051;5725;2808
1615395498.4477866;5937;5885;2945
1615395498.478274;5552;6375;3333
1615395498.4878151;5436;6527;3462
1615395498.497805;5310;6677;3601
1615395498.5088181;5162;6865;3748
1615395498.517699;5043;6997;3855
1615395498.5479746;4640;7440;4233
1615395498.5587564;4505;7592;4370
1615395498.5870628;4096;8012;4726
1615395498.617168;3665;8395;5065
1615395498.6272426;3522;8512;5190
1615395498.6582327;3060;8877;5541
1615395498.6670206;2926;8982;5622
1615395498.6965916;2477;9300;5947
1615395498.7083156;2296;9415;6047
1615395498.7365572;1845;9687;6323
1615395498.7461667;1695;9772;6421
1615395498.757126;1505;9870;6513
1615395498.7756991;1217;10025;6691
1615395498.7858555;1058;10092;6767
1615395498.7959573;896;10155;6860
1615395498.8069217;711;10235;6933
1615395498.8159769;571;10280;6985
1615395498.845575;102;10445;7206
1615395498.8566718;-97;10507;7298
1615395498.8855968;-558;10627;7481
1615395498.895288;-721;10672;7536
1615395498.9061584;-903;10702;7608
1615395498.9257383;-1212;10740;7718
1615395498.934673;-1372;10762;7753
1615395498.944804;-1533;10770;7813
1615395498.9557483;-1713;10795;7851
1615395498.985178;-2175;10797;7966
1615395499.01507;-2631;10780;8072
1615395499.044454;-3083;10732;8156
1615395499.055545;-3250;10710;8181
1615395499.073528;-3530;10652;8216
1615395499.0838146;-3675;10607;8225
1615395499.0938497;-3822;10570;8236
1615395499.1048636;-3988;10517;8246
1615395499.1232688;-4252;10427;8257
1615395499.1335735;-4376;10362;8252
1615395499.1434495;-4526;10317;8255
1615395499.1548479;-4680;10237;8243
1615395499.1834843;-5030;10037;8225
1615395499.2127724;-5422;9805;8178
1615395499.222879;-5536;9727;8160
1615395499.2535355;-5923;9427;8063
1615395499.2626512;-6008;9342;8037
1615395499.2922544;-6348;9022;7920
1615395499.303261;-6470;8882;7887
1615395499.332635;-6733;8552;7753
1615395499.3625085;-7026;8142;7598
1615395499.3727837;-7113;8017;7538
1615395499.403155;-7373;7567;7331
1615395499.4322708;-7587;7155;7116
1615395499.4417434;-7656;7000;7045
1615395499.4531422;-7746;6810;6957
1615395499.471269;-7853;6510;6821
1615395499.4810798;-7915;6345;6718
1615395499.4912562;-7972;6167;6645
1615395499.5210955;-8138;5650;6358
1615395499.5310442;-8178;5462;6263
1615395499.5408113;-8228;5290;6153
1615395499.5518794;-8300;5080;6053
1615395499.5608234;-8302;4930;5961
1615395499.5910594;-8410;4352;5642
1615395499.602091;-8452;4127;5530
1615395499.630765;-8495;3577;5201
1615395499.6603315;-8568;2960;4843
1615395499.6700077;-8582;2755;4707
1615395499.701016;-8597;2097;4315
1615395499.7102497;-8595;1905;4203
1615395499.739412;-8585;1267;3788
1615395499.7507882;-8568;1017;3628
1615395499.779412;-8516;407;3231
1615395499.7894382;-8490;185;3086
1615395499.8000782;-8466;-90;2908
1615395499.8091505;-8433;-275;2797
1615395499.8394122;-8333;-950;2321
1615395499.8504655;-8297;-1210;2151
1615395499.8593051;-8255;-1410;2018
1615395499.8890622;-8102;-2090;1543
1615395499.8997183;-8052;-2355;1358
1615395499.9285693;-7870;-2992;898
1615395499.958596;-7672;-3655;411
1615395499.9684703;-7593;-3875;247
1615395499.9779203;-7525;-4105;70
1615395499.9880307;-7453;-4312;-88
1615395499.9995632;-7366;-4582;-277
1615395500.0080736;-7290;-4765;-430
1615395500.0380924;-7012;-5427;-936
1615395500.0488598;-6907;-5677;-1127
1615395500.0780616;-6617;-6267;-1617
1615395500.0875819;-6501;-6470;-1772
1615395500.0986736;-6388;-6720;-1975
1615395500.116878;-6166;-7087;-2282
1615395500.1267536;-6058;-7290;-2453
1615395500.1368964;-5935;-7485;-2617
1615395500.1479754;-5797;-7707;-2797
1615395500.157033;-5692;-7865;-2938
1615395500.186643;-5298;-8452;-3430
1615395500.1977334;-5156;-8652;-3615
1615395500.226644;-4775;-9155;-4077
1615395500.2562928;-4326;-9660;-4525
1615395500.2860343;-3888;-10135;-4971
1615395500.297039;-3725;-10310;-5167
1615395500.3155038;-3427;-10580;-5421
1615395500.3256412;-3273;-10727;-5562
1615395500.3356812;-3111;-10850;-5718
1615395500.346889;-2915;-11002;-5860
1615395500.365457;-2593;-11242;-6107
1615395500.3755655;-2432;-11362;-6257
1615395500.386229;-2263;-11490;-6372
1615395500.3965433;-2113;-11612;-6525
1615395500.41548;-1816;-11812;-6748
1615395500.4267702;-1631;-11910;-6881
1615395500.435143;-1457;-12010;-6996
1615395500.4465632;-1255;-12122;-7130
1615395500.4647195;-932;-12282;-7326
1615395500.4745677;-751;-12377;-7442
1615395500.4847636;-568;-12440;-7546
1615395500.4958112;-378;-12537;-7682
1615395500.504981;-228;-12590;-7761
1615395500.5347502;318;-12770;-8058
1615395500.5457885;526;-12832;-8165
1615395500.5642722;872;-12907;-8315
1615395500.5746236;1056;-12955;-8402
1615395500.585005;1241;-12977;-8483
1615395500.5955148;1438;-13015;-8568
1615395500.6242793;1966;-13072;-8772
1615395500.654632;2501;-13080;-8943
1615395500.6844616;3033;-13042;-9075
1615395500.6950839;3226;-13015;-9143
1615395500.7129622;3540;-12952;-9200
1615395500.7232118;3715;-12925;-9241
1615395500.7332518;3886;-12880;-9262
1615395500.744741;4072;-12837;-9290
1615395500.7624438;4376;-12742;-9331
1615395500.7731051;4542;-12690;-9333
1615395500.7836277;4701;-12615;-9352
1615395500.7945337;4880;-12532;-9363
1615395500.8123658;5153;-12382;-9358
1615395500.8228557;5301;-12297;-9363
1615395500.8324864;5455;-12222;-9368
1615395500.8437028;5633;-12115;-9352
1615395500.862341;5895;-11920;-9322
1615395500.8724368;6032;-11810;-9298
1615395500.882456;6180;-11705;-9290
1615395500.8934278;6335;-11570;-9246
1615395500.911722;6593;-11327;-9176
1615395500.922179;6715;-11202;-9153
1615395500.9320617;6843;-11065;-9110
1615395500.943201;6978;-10910;-9067
1615395500.9725707;7330;-10467;-8911
1615395501.0020347;7643;-9980;-8731
1615395501.0315073;7953;-9425;-8511
1615395501.042522;8060;-9205;-8421
1615395501.0718052;8302;-8635;-8183
1615395501.1007936;8550;-7977;-7887
1615395501.111118;8613;-7742;-7788
1615395501.1425588;8813;-7047;-7446
1615395501.1709764;8963;-6327;-7086
1615395501.1999285;9072;-5580;-6718
1615395501.2102427;9108;-5317;-6576
1615395501.2415638;9196;-4475;-6143
1615395501.2707105;9201;-3682;-5718
1615395501.279744;9215;-3392;-5573
1615395501.2909544;9230;-3075;-5380
1615395501.3092115;9191;-2540;-5075
1615395501.3195643;9193;-2232;-4911
1615395501.3291063;9175;-1947;-4746
1615395501.3592415;9098;-1062;-4231
1615395501.3690681;9056;-770;-4053
1615395501.378732;9008;-460;-3873
1615395501.389754;8982;-125;-3672
1615395501.398671;8925;145;-3511
1615395501.408645;8875;432;-3337
1615395501.4186437;8816;727;-3148
1615395501.4488235;8613;1640;-2590
1615395501.458423;8547;1935;-2407
1615395501.4894428;8300;2845;-1830
1615395501.4983404;8223;3105;-1663
1615395501.528147;7927;3972;-1092
1615395501.5393426;7822;4280;-892
1615395501.5682337;7477;5095;-345
1615395501.5778391;7353;5382;-155
1615395501.588571;7228;5677;67
1615395501.597193;7107;5917;215
1615395501.6073792;6992;6195;411
1615395501.617297;6843;6457;601
1615395501.6470478;6391;7260;1178
1615395501.6574128;6230;7527;1386
1615395501.688359;5740;8317;1961
1615395501.6972432;5581;8535;2108
1615395501.7267947;5051;9267;2680
1615395501.7380788;4832;9522;2882
1615395501.7671342;4281;10162;3386
1615395501.7764196;4060;10377;3543
1615395501.7875433;3833;10610;3748
1615395501.8060787;3448;10992;4081
1615395501.8161683;3250;11180;4222
1615395501.8260636;3028;11360;4380
1615395501.837231;2767;11555;4557
1615395501.8558495;2362;11877;4830
1615395501.865728;2142;12030;4971
1615395501.8752828;1918;12180;5107
1615395501.8865757;1660;12352;5280
1615395501.9158208;1017;12730;5628
1615395501.9451072;340;13057;5993
1615395501.9748287;-360;13330;6301
1615395501.985999;-635;13430;6402
1615395502.0149596;-1288;13627;6647
1615395502.0448992;-1987;13745;6878
1615395502.074201;-2667;13830;7058
1615395502.085202;-2933;13842;7097
1615395502.1035008;-3351;13845;7181
1615395502.1135414;-3566;13832;7206
1615395502.1238775;-3798;13815;7238
1615395502.1345952;-4062;13780;7271
1615395502.1533477;-4463;13707;7303
1615395502.1631417;-4682;13660;7298
