[1.464975 1.464975] ;15097;-3560;-10271
[1.483625 0.018650] ;15095;-3570;-10266
[1.493559 0.009934] ;15100;-3565;-10260
[1.504733 0.011174] ;15121;-3580;-10278
[1.554595 0.049862] ;15116;-3577;-10285
[1.572971 0.018376] ;15102;-3572;-10276
[1.582955 0.009984] ;15105;-3582;-10271
[1.593101 0.010146] ;15100;-3590;-10292
[1.604141 0.011040] ;15110;-3575;-10276
[1.653922 0.049781] ;15121;-3572;-10273
[1.672389 0.018466] ;15107;-3565;-10278
[1.682230 0.009841] ;15116;-3570;-10273
[1.692415 0.010186] ;15107;-3575;-10282
[1.703813 0.011398] ;15121;-3572;-10285
[1.741545 0.037732] ;15110;-3565;-10255
[1.774889 0.033344] ;15112;-3577;-10268
[1.781651 0.006762] ;15105;-3575;-10276
[1.811574 0.029924] ;15105;-3570;-10276
[1.841421 0.029846] ;15088;-3575;-10278
[1.852470 0.011049] ;15118;-3572;-10282
[1.890953 0.038482] ;15118;-3575;-10287
[1.920714 0.029762] ;15092;-3582;-10282
[1.930633 0.009919] ;15116;-3570;-10278
[1.960662 0.030029] ;15092;-3572;-10273
[1.980056 0.019394] ;15095;-3570;-10268
[1.990034 0.009978] ;15095;-3577;-10276
[2.001240 0.011206] ;15107;-3575;-10287
[2.019836 0.018596] ;15118;-3565;-10271
[2.029770 0.009934] ;15105;-3577;-10273
[2.040155 0.010385] ;15100;-3567;-10271
[2.051182 0.011027] ;15128;-3575;-10285
[2.069432 0.018250] ;15107;-3587;-10290
[2.079496 0.010064] ;15102;-3570;-10285
[2.129415 0.049920] ;15100;-3567;-10285
[2.159233 0.029818] ;15107;-3572;-10282
[2.188971 0.029738] ;15088;-3585;-10282
[2.199972 0.011001] ;15116;-3577;-10290
[2.218707 0.018734] ;15086;-3567;-10276
[2.228753 0.010046] ;15097;-3577;-10268
[2.258652 0.029899] ;15092;-3580;-10276
[2.278205 0.019553] ;15105;-3582;-10268
[2.299577 0.021372] ;15110;-3572;-10285
[2.317981 0.018404] ;15086;-3585;-10276
[2.328216 0.010235] ;15102;-3575;-10278
[2.377841 0.049624] ;15097;-3577;-10266
[2.407559 0.029719] ;15102;-3575;-10262
[2.427163 0.019604] ;15097;-3580;-10268
[2.448515 0.021352] ;15118;-3577;-10282
[2.467038 0.018523] ;15095;-3567;-10290
[2.497921 0.030883] ;15112;-3575;-10282
[2.526810 0.028889] ;15105;-3582;-10287
[2.556478 0.029668] ;15105;-3560;-10271
[2.575789 0.019312] ;15097;-3577;-10276
[2.586087 0.010297] ;15107;-3580;-10278
[2.597214 0.011127] ;15116;-3577;-10276
[2.615654 0.018440] ;15097;-3580;-10271
[2.625808 0.010154] ;15092;-3577;-10282
[2.635971 0.010163] ;15105;-3572;-10273
[2.647138 0.011167] ;15118;-3567;-10278
[2.665646 0.018508] ;15112;-3562;-10287
[2.675962 0.010316] ;15118;-3572;-10290
[2.705571 0.029608] ;15112;-3575;-10276
[2.725233 0.019662] ;15112;-3577;-10252
[2.735026 0.009793] ;15121;-3572;-10262
[2.784894 0.049868] ;15095;-3580;-10285
[2.795635 0.010741] ;15112;-3575;-10278
[2.824814 0.029179] ;15110;-3572;-10285
[2.874326 0.049512] ;15102;-3585;-10271
[2.904145 0.029820] ;15105;-3582;-10282
[2.934012 0.029867] ;15107;-3580;-10262
[2.945180 0.011168] ;15116;-3575;-10282
[2.963691 0.018511] ;15095;-3587;-10298
[2.973799 0.010108] ;15105;-3575;-10285
[3.003669 0.029870] ;15086;-3570;-10276
[3.023083 0.019414] ;15100;-3582;-10266
[3.032986 0.009902] ;15083;-3570;-10285
[3.044271 0.011285] ;15112;-3572;-10278
[3.062703 0.018431] ;15116;-3577;-10296
[3.072835 0.010133] ;15110;-3572;-10282
[3.082647 0.009812] ;15116;-3577;-10292
[3.094002 0.011355] ;15110;-3575;-10287
[3.112660 0.018657] ;15095;-3567;-10282
[3.122503 0.009843] ;15095;-3572;-10290
[3.152532 0.030029] ;15095;-3575;-10278
[3.172126 0.019594] ;15105;-3565;-10276
[3.181770 0.009643] ;15100;-3585;-10282
[3.193195 0.011425] ;15112;-3570;-10282
[3.211814 0.018620] ;15102;-3595;-10271
[3.221673 0.009859] ;15097;-3590;-10278
[3.231717 0.010044] ;15105;-3580;-10285
[3.242991 0.011275] ;15112;-3575;-10285
[3.261529 0.018538] ;15083;-3577;-10303
[3.271469 0.009940] ;15083;-3572;-10292
[3.301618 0.030149] ;15097;-3577;-10282
[3.320976 0.019359] ;15110;-3585;-10273
[3.331063 0.010086] ;15102;-3577;-10273
[3.342301 0.011239] ;15121;-3572;-10278
[3.360675 0.018373] ;15105;-3585;-10287
[3.370532 0.009857] ;15097;-3582;-10292
[3.380927 0.010396] ;15102;-3575;-10282
[3.392174 0.011247] ;15116;-3580;-10285
[3.410391 0.018217] ;15110;-3572;-10273
[3.420454 0.010063] ;15112;-3575;-10287
[3.450577 0.030123] ;15105;-3572;-10268
[3.469947 0.019369] ;15105;-3567;-10268
[3.491599 0.021652] ;15105;-3575;-10278
[3.510096 0.018497] ;15086;-3597;-10282
[3.540835 0.030739] ;15092;-3567;-10278
[3.559322 0.018487] ;15068;-3580;-10278
[3.569155 0.009833] ;15071;-3572;-10285
[3.579331 0.010175] ;15060;-3560;-10303
[3.590374 0.011043] ;15041;-3557;-10312
[3.608996 0.018622] ;15002;-3535;-10303
[3.658813 0.049817] ;14855;-3500;-10352
[3.668520 0.009707] ;14805;-3485;-10388
[3.678651 0.010131] ;14757;-3472;-10398
[3.690161 0.011509] ;14725;-3462;-10426
[3.708468 0.018308] ;14612;-3415;-10470
[3.718670 0.010202] ;14530;-3392;-10488
[3.748605 0.029935] ;14298;-3332;-10576
[3.767909 0.019304] ;14095;-3277;-10638
[3.777950 0.010041] ;13992;-3235;-10677
[3.789245 0.011295] ;13855;-3202;-10726
[3.807755 0.018510] ;13586;-3135;-10816
[3.817867 0.010113] ;13425;-3092;-10870
[3.827788 0.009921] ;13262;-3045;-10922
[3.838644 0.010855] ;13101;-2977;-10976
[3.857268 0.018624] ;12740;-2872;-11091
[3.867534 0.010267] ;12531;-2820;-11151
[3.917179 0.049644] ;11350;-2485;-11495
[3.947065 0.029886] ;10522;-2260;-11703
[3.976574 0.029509] ;9565;-1992;-11930
[3.987756 0.011182] ;9196;-1905;-12042
[4.006201 0.018445] ;8535;-1725;-12183
[4.016052 0.009851] ;8170;-1630;-12278
[4.026169 0.010117] ;7793;-1530;-12336
[4.037406 0.011237] ;7353;-1417;-12437
[4.055992 0.018586] ;6593;-1225;-12573
[4.065669 0.009677] ;6180;-1125;-12663
[4.075864 0.010195] ;5773;-1007;-12728
[4.087058 0.011194] ;5283;-895;-12818
[4.105511 0.018453] ;4445;-690;-12941
[4.115297 0.009786] ;3993;-582;-13010
[4.125548 0.010251] ;3527;-472;-13075
[4.136482 0.010933] ;2992;-335;-13148
[4.145312 0.008830] ;2560;-232;-13197
[4.174930 0.029618] ;1038;137;-13375
[4.185973 0.011043] ;452;270;-13435
[4.214884 0.028912] ;-1112;640;-13562
[4.225034 0.010150] ;-1673;775;-13611
[4.235667 0.010633] ;-2332;925;-13657
[4.254295 0.018628] ;-3427;1172;-13707
[4.264287 0.009992] ;-4026;1307;-13728
[4.274267 0.009980] ;-4637;1445;-13756
[4.285550 0.011283] ;-5322;1597;-13772
[4.314195 0.028646] ;-7100;2007;-13753
[4.344205 0.030010] ;-8961;2417;-13707
[4.363425 0.019220] ;-10208;2707;-13608
[4.373547 0.010122] ;-10831;2852;-13553
[4.385055 0.011508] ;-11535;3005;-13486
[4.413574 0.028519] ;-13246;3380;-13230
[4.443560 0.029986] ;-14983;3772;-12886
[4.462969 0.019409] ;-16091;4015;-12601
[4.472965 0.009996] ;-16602;4142;-12445
[4.484206 0.011241] ;-17206;4267;-12241
[4.502670 0.018464] ;-18118;3952;-11886
[4.512806 0.010136] ;-18588;4057;-11677
[4.522758 0.009952] ;-19052;4160;-11451
[4.534110 0.011352] ;-19582;4777;-11183
[4.552656 0.018547] ;-20333;4930;-10717
[4.562512 0.009856] ;-20726;5015;-10451
[4.592482 0.029970] ;-21781;5225;-9527
[4.622308 0.029826] ;-22682;5385;-8535
[4.633263 0.010955] ;-23010;5447;-8137
[4.651708 0.018445] ;-23405;5507;-7432
[4.661633 0.009924] ;-23601;5540;-7053
[4.671685 0.010052] ;-23777;5550;-6647
[4.682857 0.011172] ;-23980;5597;-6170
[4.711640 0.028783] ;-24272;5590;-4963
[4.741538 0.029898] ;-24410;5555;-3603
[4.771553 0.030015] ;-24312;5450;-2208
[4.782260 0.010707] ;-24252;5387;-1653
[4.800530 0.018270] ;-24015;5260;-756
[4.810735 0.010205] ;-23848;5202;-293
[4.820637 0.009902] ;-23653;5115;185
[4.850524 0.029887] ;-22938;4815;1688
[4.860469 0.009944] ;-22627;4702;2178
[4.870631 0.010162] ;-22303;4585;2670
[4.882491 0.011861] ;-21933;4432;3236
[4.900064 0.017573] ;-21130;4165;4135
[4.909945 0.009880] ;-20673;4037;4606
[4.920052 0.010108] ;-20196;3897;5051
[4.931150 0.011098] ;-19632;3655;5615
[4.960240 0.029089] ;-17933;3142;6857
[4.989978 0.029739] ;-15908;2530;8093
[5.019620 0.029642] ;-13600;1865;9206
[5.030811 0.011190] ;-12673;1602;9611
[5.049415 0.018604] ;-11038;1160;10220
[5.059115 0.009701] ;-10135;927;10497
[5.069134 0.010019] ;-9206;680;10772
[5.080125 0.010990] ;-8133;387;11061
[5.108925 0.028800] ;-5291;-345;11701
[5.118944 0.010019] ;-4283;-600;11903
[5.130038 0.011094] ;-3135;-885;12105
[5.148594 0.018556] ;-1188;-1362;12401
[5.158303 0.009709] ;-133;-1622;12525
[5.168587 0.010284] ;922;-1887;12633
[5.198298 0.029711] ;4093;-2680;12853
[5.208408 0.010111] ;5130;-2945;12886
[5.218446 0.010038] ;6161;-3192;12903
[5.229420 0.010973] ;7342;-3507;12897
[5.247943 0.018524] ;9206;-3985;12837
[5.258139 0.010196] ;10182;-4242;12783
[5.268194 0.010055] ;11150;-4487;12707
[5.279307 0.011113] ;12238;-4775;12576
[5.297906 0.018599] ;13907;-5227;12325
[5.307779 0.009873] ;14765;-5480;12123
[5.337571 0.029792] ;17206;-6142;11483
[5.357216 0.019645] ;18643;-6575;10922
[5.367213 0.009997] ;19316;-6780;10606
[5.378417 0.011204] ;20081;-6970;10238
[5.396681 0.018263] ;21130;-7240;9538
[5.406731 0.010051] ;21652;-7380;9143
[5.416801 0.010070] ;22128;-7520;8701
[5.428109 0.011308] ;22672;-7650;8227
[5.456690 0.028581] ;23708;-7882;6885
[5.486545 0.029855] ;24438;-8087;5303
[5.516409 0.029864] ;24840;-8125;3628
[5.527372 0.010963] ;24916;-8112;2903
[5.545616 0.018244] ;24880;-8082;1820
[5.555774 0.010158] ;24806;-8032;1238
[5.565722 0.009949] ;24702;-7990;626
[5.576877 0.011154] ;24578;-7957;-92
[5.605762 0.028886] ;23872;-7712;-1852
[5.635400 0.029638] ;22801;-7407;-3742
[5.665349 0.029949] ;21308;-6987;-5601
[5.676349 0.011000] ;20655;-6777;-6282
[5.694788 0.018439] ;19406;-6422;-7350
[5.704756 0.009968] ;18667;-6205;-7917
[5.714905 0.010149] ;17887;-5995;-8451
[5.726224 0.011320] ;16958;-5750;-9045
[5.744427 0.018203] ;15278;-5322;-9960
[5.754603 0.010176] ;14332;-5075;-10428
[5.764717 0.010114] ;13333;-4830;-10883
[5.775788 0.011070] ;12162;-4542;-11377
[5.794439 0.018651] ;10130;-4065;-12096
[5.804292 0.009854] ;8990;-3800;-12475
[5.814387 0.010094] ;7820;-3547;-12791
[5.825597 0.011210] ;6477;-3242;-13165
[5.843944 0.018347] ;4191;-2762;-13655
[5.853992 0.010048] ;2931;-2507;-13900
[5.864124 0.010132] ;1678;-2237;-14115
[5.875021 0.010896] ;221;-1947;-14371
