unixtime;input;ESP_CC;cc_overflow_count;
1627541923.3159983;2;279245658;0;
1627541923.3215396;3;280102704;0;
1627541923.327876;1;280971689;0;
1627541923.332587;2;281826786;0;
1627541923.337495;3;282681474;0;
1627541923.342793;1;283549767;0;
1627541923.3481376;2;284403176;0;
1627541923.3533154;3;285262126;0;
1627541923.3588705;1;286129651;0;
1627541923.3642623;2;286980828;0;
1627541923.3695447;3;287838280;0;
1627541923.3749595;1;288708837;0;
1627541923.3802745;2;289559236;0;
1627541923.3859627;3;290414980;0;
1627541923.3914685;1;291284573;0;
1627541923.396419;2;292138794;0;
1627541923.4020462;3;292993554;0;
1627541923.4073064;1;293862475;0;
1627541923.4126387;2;294713686;0;
1627541923.417901;3;295573206;0;
1627541923.4234412;1;296440137;0;
1627541923.4291933;2;297291178;0;
1627541923.4341998;3;298147044;0;
1627541923.439883;1;299018087;0;
1627541923.4451368;2;299868000;0;
1627541923.4502375;3;300724364;0;
1627541923.4557898;1;301592599;0;
1627541923.461227;2;302447156;0;
1627541923.4665475;3;303302178;0;
1627541923.471831;1;304171207;0;
1627541923.477141;2;305023218;0;
1627541923.4825392;3;305882698;0;
1627541923.4872181;1;306627217;0;
1627541923.4932184;2;307603610;0;
1627541923.4985132;3;308460064;0;
1627541923.5042312;1;309332851;0;
1627541923.5093563;2;310183342;0;
1627541923.5149484;3;311040494;0;
1627541923.5203085;1;311909565;0;
1627541923.5255916;2;312764804;0;
1627541923.5311856;3;313619828;0;
1627541923.5362446;1;314488563;0;
1627541923.541669;2;315342056;0;
1627541923.5469303;3;316201314;0;
1627541923.552365;1;317069009;0;
1627541923.5579226;2;317920068;0;
1627541923.5630398;3;318777390;0;
1627541923.5686374;1;319647903;0;
1627541923.5737462;2;320498124;0;
1627541923.5790462;3;321353716;0;
1627541923.5848393;1;322223293;0;
1627541923.5902975;2;323077410;0;
1627541923.5954566;3;323932096;0;
1627541923.6012058;1;324801283;0;
1627541923.6064198;2;325652346;0;
1627541923.6116712;3;326511880;0;
1627541923.6172345;1;327378979;0;
1627541923.622467;2;328229826;0;
1627541923.627605;3;329077035;0;
1627541923.633146;1;329947926;0;
1627541923.6383932;2;330797667;0;
1627541923.643792;3;331653885;0;
1627541923.6492672;1;332521966;0;
1627541923.65477;2;333376619;0;
1627541923.660064;3;334222808;0;
1627541923.6654234;1;335091617;0;
1627541923.670755;2;335943698;0;
1627541923.6760738;3;336803060;0;
1627541923.6813207;1;337670577;0;
1627541923.6875837;2;338523812;0;
1627541923.6924253;3;339380258;0;
1627541923.6977255;1;340252673;0;
1627541923.702892;2;341103042;0;
1627541923.7082222;3;341960152;0;
1627541923.7136424;1;342829039;0;
1627541923.7191281;2;343683922;0;
1627541923.7246134;3;344538810;0;
1627541923.7296622;1;345407317;0;
1627541923.7353613;2;346260874;0;
1627541923.7407112;3;347120056;0;
1627541923.7457964;1;347987751;0;
1627541923.7512343;2;348838892;0;
1627541923.756423;3;349696464;0;
1627541923.761716;1;350567149;0;
1627541923.7674804;2;351417150;0;
1627541923.772486;3;352272718;0;
1627541923.7782402;1;353141969;0;
1627541923.78341;2;353995938;0;
1627541923.7886431;3;354850452;0;
1627541923.7941158;1;355719075;0;
1627541923.7995322;2;356570194;0;
1627541923.8051364;3;357429598;0;
1627541923.8100803;1;358296601;0;
1627541923.8155434;2;359147594;0;
1627541923.8209698;3;360003568;0;
1627541923.8262637;1;360874183;0;
1627541923.831662;2;361723984;0;
1627541923.8370538;3;362580318;0;
1627541923.8425448;1;363448417;0;
1627541923.8475225;2;364302956;0;
1627541923.8530722;3;365158200;0;
