unixtime;input;ESP_CC;cc_overflow_count;
1627542403.4105964;3;266094340;0;
1627542403.4162614;1;266938446;0;
1627542403.4213884;2;267770045;0;
1627542403.4263527;3;268608347;0;
1627542403.4320164;1;269457934;0;
1627542403.4370043;2;270293941;0;
1627542403.4422238;3;271129871;0;
1627542403.4476244;1;271970535;0;
1627542403.4530885;2;272804992;0;
1627542403.4579172;3;273645022;0;
1627542403.463544;1;274493493;0;
1627542403.468792;2;275325534;0;
1627542403.4740252;3;276164014;0;
1627542403.4792628;1;277015123;0;
1627542403.4845438;2;277846396;0;
1627542403.4895742;3;278682998;0;
1627542403.4950962;1;279532753;0;
1627542403.5001214;2;280367630;0;
1627542403.505331;3;281203122;0;
1627542403.5105543;1;282052441;0;
1627542403.5158052;2;282884368;0;
1627542403.5210226;3;283724660;0;
1627542403.526549;1;284572055;0;
1627542403.531553;2;285404074;0;
1627542403.5369785;3;286241164;0;
1627542403.542251;1;287092699;0;
1627542403.5475986;2;287923390;0;
1627542403.5528853;3;288760842;0;
1627542403.5581667;1;289609643;0;
1627542403.5634067;2;290445042;0;
1627542403.5685406;3;291281058;0;
1627542403.5735536;1;292130345;0;
1627542403.578974;2;292963162;0;
1627542403.584044;3;293803470;0;
1627542403.5899003;1;294651699;0;
1627542403.5946114;2;295485932;0;
1627542403.599986;3;296323352;0;
1627542403.6051102;1;297176295;0;
1627542403.6104558;2;298007626;0;
1627542403.6155596;3;298845762;0;
1627542403.6217778;1;299695181;0;
1627542403.6262987;2;300530852;0;
1627542403.6314542;3;301366408;0;
1627542403.637069;1;302215551;0;
1627542403.642047;2;303049986;0;
1627542403.6471837;3;303889850;0;
1627542403.652923;1;304737847;0;
1627542403.6577404;2;305570026;0;
1627542403.662887;3;306408574;0;
1627542403.6683853;1;307259679;0;
1627542403.6733305;2;308090652;0;
1627542403.679042;3;308926898;0;
1627542403.6840315;1;309776715;0;
1627542403.688905;2;310611270;0;
1627542403.6941764;3;311446626;0;
1627542403.699636;1;312295841;0;
1627542403.7048092;2;313127600;0;
1627542403.7100854;3;313967632;0;
1627542403.716051;1;314814925;0;
1627542403.7210026;2;315646926;0;
1627542403.7257628;3;316483896;0;
1627542403.73122;1;317335187;0;
1627542403.7365766;2;318165580;0;
1627542403.7421017;3;319002780;0;
1627542403.7472873;1;319851429;0;
1627542403.7520049;2;320686780;0;
1627542403.7574136;3;321522708;0;
1627542403.762893;1;322371921;0;
1627542403.7679915;2;323204734;0;
1627542403.773354;3;324044854;0;
1627542403.7787602;1;324892905;0;
1627542403.7838483;2;325726878;0;
1627542403.7891443;3;326564242;0;
1627542403.7943933;1;327417003;0;
1627542403.7995021;2;328248342;0;
1627542403.8051233;3;329077623;0;
1627542403.8104224;1;329926786;0;
1627542403.81542;2;330762385;0;
1627542403.8209083;3;331597933;0;
1627542403.8258557;1;332447056;0;
1627542403.831079;2;333281179;0;
1627542403.8366888;3;334112332;0;
1627542403.8416317;1;334960301;0;
1627542403.8464532;2;335792430;0;
1627542403.8520012;3;336630736;0;
1627542403.8573744;1;337481685;0;
1627542403.8623266;2;338312658;0;
1627542403.8677032;3;339149056;0;
1627542403.873023;1;339998651;0;
1627542403.8783956;2;340833090;0;
1627542403.8835695;3;341668360;0;
1627542403.888721;1;342517455;0;
1627542403.8941817;2;343348948;0;
1627542403.8993282;3;344188896;0;
1627542403.9045029;1;345036003;0;
1627542403.909857;2;345867652;0;
1627542403.9149263;3;346704380;0;
1627542403.9201884;1;347555665;0;
1627542403.925414;2;348386074;0;
1627542403.930656;3;349223260;0;
1627542403.9358997;1;350071655;0;
1627542403.9414992;2;350906796;0;
1627542403.9464023;3;351742600;0;
1627542403.9517486;1;352591669;0;
1627542403.957046;2;353424470;0;
1627542403.9622982;3;354264436;0;
1627542403.967794;1;355112229;0;
1627542403.9732976;2;355946098;0;
1627542403.9779713;3;356783252;0;
1627542403.9833715;1;357636047;0;
1627542403.988866;2;358467038;0;
1627542403.9939797;3;359304810;0;
1627542403.9991722;1;360154083;0;
1627542404.004957;2;360989522;0;
1627542404.010001;3;361824780;0;
1627542404.014906;1;362673505;0;
1627542404.019966;2;363507392;0;
1627542404.0250251;3;364347006;0;
1627542404.0304441;1;365194337;0;
1627542404.035786;2;366026026;0;
1627542404.0406828;3;366864050;0;
1627542404.0461347;1;367714655;0;
1627542404.0514083;2;368545506;0;
1627542404.05651;3;369381556;0;
1627542404.0619447;1;370231043;0;
1627542404.0672286;2;371065442;0;
1627542404.0723295;3;371900578;0;
1627542404.0776231;1;372749313;0;
1627542404.0827904;2;373580810;0;
1627542404.088132;3;374420498;0;
1627542404.0932512;1;375267449;0;
1627542404.0989132;2;376098798;0;
1627542404.1038244;3;376935228;0;
1627542404.1091435;1;377786009;0;
1627542404.1144805;2;378615946;0;
1627542404.1194541;3;379452664;0;
1627542404.1253622;1;380300833;0;
1627542404.1307049;2;381135588;0;
1627542404.1354003;3;381971160;0;
1627542404.140503;1;382701869;0;
1627542404.1461992;2;383652642;0;
1627542404.1512554;3;384492546;0;
1627542404.1562762;1;385340171;0;
1627542404.16162;2;386173866;0;
1627542404.1668026;3;387010564;0;
1627542404.1720774;1;387862871;0;
1627542404.1773117;2;388693578;0;
1627542404.1824205;3;389530842;0;
1627542404.1878283;1;390379651;0;
1627542404.1931705;2;391214870;0;
1627542404.1982925;3;392041351;0;
1627542404.2036777;1;392889992;0;
1627542404.2089286;2;393723713;0;
1627542404.2141445;3;394562941;0;
1627542404.2196355;1;395410370;0;
1627542404.2247891;2;396241799;0;
1627542404.2298577;3;397070860;0;
1627542404.2349954;1;397921149;0;
1627542404.240477;2;398751382;0;
1627542404.2454531;3;399587058;0;
1627542404.250633;1;400436219;0;
1627542404.2565124;2;401270280;0;
1627542404.2613704;3;402105156;0;
1627542404.2668586;1;402953825;0;
1627542404.2717507;2;403785264;0;
1627542404.277112;3;404624970;0;
1627542404.2825446;1;405471657;0;
1627542404.287652;2;406302924;0;
1627542404.2930932;3;407138886;0;
1627542404.2982574;1;407989513;0;
1627542404.3031447;2;408819402;0;
1627542404.3088567;3;409655822;0;
1627542404.313673;1;410503737;0;
1627542404.3189938;2;411338426;0;
1627542404.3242536;3;412173658;0;
1627542404.3294272;1;413022329;0;
1627542404.3349664;2;413854524;0;
1627542404.3402202;3;414694128;0;
1627542404.3453796;1;415541679;0;
1627542404.3505917;2;416374938;0;
1627542404.3563485;3;417211302;0;
1627542404.3611784;1;418063389;0;
1627542404.3663054;2;418893868;0;
1627542404.3714862;3;419731126;0;
1627542404.3770452;1;420579875;0;
1627542404.3820634;2;421414940;0;
1627542404.3875096;3;422249942;0;
1627542404.392252;1;423098243;0;
1627542404.397751;2;423931912;0;
1627542404.4029129;3;424770932;0;
1627542404.408484;1;425618195;0;
1627542404.413218;2;426449248;0;
1627542404.4189517;3;427286522;0;
1627542404.4239926;1;428136263;0;
1627542404.4290745;2;428966298;0;
1627542404.4344525;3;429801828;0;
1627542404.4398596;1;430650755;0;
1627542404.4451582;2;431484700;0;
1627542404.4503803;3;432319622;0;
1627542404.455679;1;433168227;0;
1627542404.460887;2;433999480;0;
1627542404.4657683;3;434838936;0;
1627542404.4712222;1;435685525;0;
1627542404.476299;2;436516542;0;
1627542404.481477;3;437352392;0;
1627542404.486751;1;438202621;0;
1627542404.4920526;2;439032114;0;
1627542404.4972997;3;439868392;0;
1627542404.501812;1;440598301;0;
1627542404.507746;2;441550644;0;
1627542404.5133402;3;442385606;0;
1627542404.5189457;1;443234055;0;
1627542404.5235093;2;444066188;0;
1627542404.5289376;3;444905556;0;
1627542404.534147;1;445752737;0;
1627542404.5393052;2;446586078;0;
1627542404.5450487;3;447422462;0;
1627542404.5497909;1;448274287;0;
1627542404.555226;2;449104778;0;
1627542404.5601804;3;449941866;0;
1627542404.5655837;1;450790331;0;
1627542404.5707161;2;451625198;0;
1627542404.575974;3;452459948;0;
1627542404.5815766;1;453308171;0;
1627542404.586888;2;454141840;0;
1627542404.5918345;3;454971843;0;
1627542404.5972342;1;455818946;0;
1627542404.6022747;2;456650017;0;
1627542404.6080966;3;457487363;0;
1627542404.612604;1;458337288;0;
1627542404.6179185;2;459167161;0;
1627542404.623149;3;460002405;0;
1627542404.6284387;1;460851228;0;
1627542404.633755;2;461684917;0;
1627542404.6394696;3;462519337;0;
1627542404.6445203;1;463367530;0;
1627542404.6498904;2;464198611;0;
1627542404.6550307;3;465037817;0;
1627542404.6600156;1;465884172;0;
1627542404.6651177;2;466715407;0;
1627542404.6706803;3;467551207;0;
1627542404.6758595;1;468401362;0;
1627542404.6809096;2;469230881;0;
1627542404.6861417;3;470067107;0;
1627542404.6914613;1;470914780;0;
1627542404.6965294;2;471749211;0;
1627542404.701763;3;472584169;0;
1627542404.7072518;1;473432306;0;
1627542404.7125428;2;474264257;0;
1627542404.7176037;3;475103459;0;
1627542404.7229173;1;475950726;0;
1627542404.7282863;2;476783713;0;
1627542404.733248;3;477619943;0;
1627542404.7389982;1;478471702;0;
1627542404.744017;2;479302045;0;
1627542404.7493315;3;480139061;0;
1627542404.754464;1;480987566;0;
1627542404.7597756;2;481822545;0;
1627542404.7653127;3;482657223;0;
1627542404.7700088;1;483505440;0;
1627542404.775485;2;484338861;0;
1627542404.7807813;3;485177591;0;
1627542404.7856886;1;486024582;0;
1627542404.7911131;2;486855427;0;
1627542404.7964098;3;487692469;0;
1627542404.8016868;1;488542234;0;
1627542404.8071234;2;489372051;0;
1627542404.8122933;3;490207411;0;
1627542404.817768;1;491056062;0;
1627542404.8228407;2;491889633;0;
1627542404.8283467;3;492724083;0;
1627542404.8332386;1;493572168;0;
1627542404.838275;2;494403223;0;
1627542404.843368;3;495242405;0;
1627542404.8488805;1;496088726;0;
1627542404.8540113;2;496919397;0;
1627542404.859253;3;497755155;0;
1627542404.864545;1;498605376;0;
1627542404.8696852;2;499425722;0;
1627542404.874961;3;500262042;0;
1627542404.8802662;1;501109667;0;
1627542404.8855793;2;501944108;0;
1627542404.8906684;3;502778754;0;
1627542404.89583;1;503626799;0;
1627542404.9010003;2;504458556;0;
1627542404.9061255;3;505297562;0;
1627542404.911618;1;506144543;0;
1627542404.9169393;2;506977454;0;
1627542404.9223325;3;507813700;0;
1627542404.927976;1;508665641;0;
1627542404.9325616;2;509495808;0;
1627542404.937936;3;510332914;0;
1627542404.9433627;1;511181427;0;
1627542404.948725;2;512016096;0;
1627542404.9537451;3;512850472;0;
1627542404.9591653;1;513698041;0;
1627542404.9640672;2;514531298;0;
1627542404.9692364;3;515369828;0;
1627542404.9747858;1;516216669;0;
1627542404.9800954;2;517047486;0;
1627542404.9857297;3;517884722;0;
1627542404.9909015;1;518725646;0;
1627542404.9954202;2;519555403;0;
1627542405.0012803;3;520390635;0;
1627542405.0064926;1;521239300;0;
1627542405.0116248;2;522072777;0;
1627542405.0166924;3;522907045;0;
1627542405.0217974;1;523746135;0;
1627542405.026936;2;524576556;0;
1627542405.0324552;3;525415206;0;
1627542405.0375597;1;526260977;0;
1627542405.04276;2;527091564;0;
1627542405.047954;3;527927158;0;
1627542405.0533051;1;528777075;0;
1627542405.0583644;2;529606590;0;
1627542405.0639374;3;530442846;0;
1627542405.069042;1;531290325;0;
1627542405.0746017;2;532124340;0;
1627542405.0798268;3;532958966;0;
1627542405.0852141;1;533806747;0;
1627542405.0900898;2;534638106;0;
1627542405.094838;3;535476690;0;
1627542405.1002994;1;536323181;0;
1627542405.1055667;2;537155680;0;
1627542405.111173;3;537991514;0;
1627542405.1167912;1;538842769;0;
1627542405.1214464;2;539673004;0;
1627542405.1269107;3;540509590;0;
1627542405.1324022;1;541357605;0;
1627542405.136845;2;542191934;0;
1627542405.1423488;3;543016933;0;
1627542405.1477945;1;543864232;0;
