unixtime;input;ESP_CC;cc_overflow_count;
1627396971.7095854;3;885123934;1;
1627396971.7150166;1;885996735;1;
1627396971.7205818;2;886850492;1;
1627396971.7259588;3;887712576;1;
1627396971.7312922;1;888583619;1;
1627396971.736698;2;889438192;1;
1627396971.742138;3;890297030;1;
1627396971.7480512;1;891172797;1;
1627396971.7529464;2;892024856;1;
1627396971.758464;3;892884540;1;
1627396971.7638006;1;893757135;1;
1627396971.7689307;2;894614438;1;
1627396971.7744703;3;895472274;1;
1627396971.780064;1;896345399;1;
1627396971.7850435;2;897201100;1;
1627396971.7907267;3;898063006;1;
1627396971.7961833;1;898934647;1;
1627396971.8014941;2;899788282;1;
1627396971.8069644;3;900648136;1;
1627396971.812315;1;901522775;1;
1627396971.8175874;2;902374834;1;
1627396971.8229842;3;903233400;1;
1627396971.828703;1;904097364;1;
1627396971.8339412;2;904953481;1;
1627396971.83928;3;905811089;1;
1627396971.8450072;1;906684124;1;
1627396971.8499138;2;907537421;1;
1627396971.8555043;3;908399615;1;
1627396971.8597126;1;909146020;1;
1627396971.866293;2;910124735;1;
1627396971.8713396;3;910983315;1;
1627396971.877193;1;911857910;1;
1627396971.8822422;2;912710147;1;
1627396971.8879557;3;913569827;1;
1627396971.8934174;1;914441606;1;
1627396971.8988113;2;915298859;1;
1627396971.903823;3;916156219;1;
1627396971.9094408;1;917028698;1;
1627396971.9149094;2;917882893;1;
1627396971.9202173;3;918744695;1;
1627396971.925929;1;919616036;1;
1627396971.9307427;2;920470821;1;
1627396971.9362307;3;921329549;1;
1627396971.9417868;1;922205894;1;
1627396971.9475467;2;923049123;1;
1627396971.952795;3;923908535;1;
1627396971.9577265;1;924781406;1;
1627396971.9632711;2;925638741;1;
1627396971.968766;3;926495881;1;
1627396971.9740465;1;927368908;1;
1627396971.9794939;2;928215538;1;
1627396971.9850779;3;929077040;1;
1627396971.9905496;1;929948607;1;
1627396971.9958694;2;930801438;1;
1627396972.0011802;3;931661132;1;
1627396972.0069654;1;932535617;1;
1627396972.01227;2;933387472;1;
1627396972.017147;3;934246074;1;
1627396972.022713;1;935118625;1;
1627396972.028174;2;935974258;1;
1627396972.033376;3;936831900;1;
1627396972.0389922;1;937704513;1;
1627396972.0439892;2;938557508;1;
1627396972.049454;3;939419030;1;
1627396972.0549805;1;940289595;1;
1627396972.0604439;2;941142670;1;
1627396972.0658178;3;942001368;1;
1627396972.0713017;1;942875845;1;
1627396972.076848;2;943727462;1;
1627396972.081947;3;944586496;1;
1627396972.0875893;1;945458347;1;
1627396972.0927322;2;946314874;1;
1627396972.0983794;3;947163191;1;
1627396972.1033876;1;947910198;1;
1627396972.1094458;2;948889465;1;
1627396972.1141393;3;949750773;1;
1627396972.119513;1;950621572;1;
1627396972.124891;2;951475701;1;
1627396972.130543;3;952324984;1;
1627396972.1359148;1;953200943;1;
1627396972.142133;2;954053152;1;
1627396972.1469595;3;954912086;1;
1627396972.1512544;1;955659159;1;
1627396972.1573675;2;956641226;1;
1627396972.162823;3;957498648;1;
1627396972.1682172;1;958370631;1;
1627396972.1737545;2;959225988;1;
1627396972.178703;3;960087794;1;
1627396972.1842766;1;960958693;1;
1627396972.1896112;2;961811844;1;
1627396972.195027;3;962671266;1;
1627396972.2004113;1;963545075;1;
1627396972.2059102;2;964397802;1;
1627396972.211343;3;965255838;1;
1627396972.21665;1;966128303;1;
1627396972.2220933;2;966984944;1;
1627396972.2274613;3;967841880;1;
1627396972.2330077;1;968714617;1;
1627396972.2383244;2;969567930;1;
1627396972.243636;3;970429548;1;
1627396972.2490435;1;971300687;1;
1627396972.2543266;2;972144651;1;
1627396972.2597063;3;973003053;1;
1627396972.265237;1;973878070;1;
1627396972.270874;2;974729959;1;
1627396972.2757742;3;975588223;1;
1627396972.2816803;1;976451519;1;
1627396972.286549;2;977308506;1;
1627396972.2921305;3;978165768;1;
1627396972.2979462;1;979039041;1;
1627396972.3034813;2;979892450;1;
1627396972.308381;3;980753984;1;
1627396972.3139136;1;981624875;1;
1627396972.3191876;2;982479706;1;
1627396972.3243315;3;983337986;1;
1627396972.3295941;1;984213775;1;
1627396972.335391;2;985065974;1;
1627396972.3406363;3;985925898;1;
1627396972.3460495;1;986797983;1;
1627396972.351389;2;987655298;1;
1627396972.3572586;3;988513044;1;
1627396972.3624632;1;989386129;1;
1627396972.367319;2;990241286;1;
1627396972.3730378;3;991103062;1;
