unixtime;input;ESP_CC;cc_overflow_count;
1627458951.318072;;421954678;0;
1627458951.3288596;1;422831139;0;
1627458951.3295598;2;423684380;0;
1627458951.3342304;3;424544860;0;
1627458951.339906;1;425417901;0;
1627458951.3451247;2;426275636;0;
1627458951.3505137;3;427133638;0;
1627458951.3560367;1;428006719;0;
1627458951.361223;2;428862912;0;
1627458951.3668056;3;429725442;0;
1627458951.3721128;1;430597007;0;
1627458951.377492;2;431451522;0;
1627458951.3829694;3;432312026;0;
1627458951.388389;1;433187261;0;
1627458951.3935921;2;434040574;0;
1627458951.3988876;3;434900008;0;
1627458951.4043405;1;435773445;0;
1627458951.409808;2;436630792;0;
1627458951.415323;3;437489008;0;
1627458951.420748;1;438362053;0;
1627458951.426178;2;439215696;0;
1627458951.431602;3;440078318;0;
1627458951.4370193;1;440949033;0;
1627458951.4421017;2;441802742;0;
1627458951.4477384;3;442661982;0;
1627458951.4532454;1;443536981;0;
1627458951.458391;2;444389428;0;
1627458951.4638298;3;445249090;0;
1627458951.469017;1;446121825;0;
1627458951.4746633;2;446979558;0;
1627458951.479837;3;447838044;0;
1627458951.4854739;1;448711001;0;
1627458951.4909139;2;449566018;0;
1627458951.4965887;3;450428788;0;
1627458951.5013874;1;451300685;0;
1627458951.5072463;2;452156938;0;
1627458951.5125253;3;453016732;0;
1627458951.518144;1;453893553;0;
1627458951.5231323;2;454738513;0;
1627458951.529771;3;455599577;0;
1627458951.534077;1;456473104;0;
1627458951.5391905;2;457331511;0;
1627458951.5449383;3;458189923;0;
1627458951.5503922;1;459063204;0;
1627458951.5557704;2;459919461;0;
1627458951.5612953;3;460781803;0;
1627458951.566673;1;461653296;0;
1627458951.5717921;2;462507563;0;
1627458951.5769439;3;463368153;0;
1627458951.582688;1;464243394;0;
1627458951.5878668;2;465096747;0;
1627458951.594212;3;465956349;0;
1627458951.5987422;1;466830072;0;
1627458951.6043508;2;467687911;0;
1627458951.6093762;3;468546445;0;
1627458951.6149447;1;469420004;0;
1627458951.6203525;2;470274125;0;
1627458951.6256218;3;471137089;0;
1627458951.6310225;1;472008110;0;
1627458951.6363575;2;472861877;0;
1627458951.6419723;3;473721345;0;
1627458951.6473336;1;474596792;0;
1627458951.6527429;2;475449511;0;
1627458951.6578906;3;476309017;0;
1627458951.663677;1;477181948;0;
1627458951.6692007;2;478039299;0;
1627458951.674441;3;478897919;0;
1627458951.6797857;1;479770774;0;
1627458951.685707;2;480626015;0;
1627458951.690553;3;481489047;0;
1627458951.6959743;1;482361388;0;
1627458951.7011185;2;483217541;0;
1627458951.706736;3;484077477;0;
1627458951.7121723;1;484954620;0;
1627458951.7184215;2;485808377;0;
1627458951.7229822;3;486669581;0;
1627458951.728324;1;487543560;0;
1627458951.7336094;2;488401929;0;
1627458951.738857;3;489260621;0;
1627458951.7446837;1;490134214;0;
1627458951.7505264;2;490990855;0;
1627458951.7551956;3;491853719;0;
1627458951.7607107;1;492725530;0;
1627458951.766137;2;493580005;0;
1627458951.7714663;3;494440597;0;
1627458951.7767577;1;495315874;0;
1627458951.7823682;2;496169043;0;
1627458951.7875066;3;497028511;0;
1627458951.7929466;1;497902502;0;
1627458951.7987118;2;498760021;0;
1627458951.8039815;3;499609522;0;
1627458951.8097613;1;500483099;0;
1627458951.814525;2;501337396;0;
1627458951.8201683;3;502200682;0;
1627458951.8253329;1;503072127;0;
1627458951.8307896;2;503926330;0;
1627458951.83631;3;504786284;0;
1627458951.8417635;1;505662389;0;
1627458951.8469412;2;506515296;0;
1627458951.8523517;3;507375394;0;
1627458951.8576794;1;508248769;0;
1627458951.8631687;2;509106538;0;
1627458951.8684542;3;509964970;0;
1627458951.8737984;1;510837481;0;
1627458951.879808;2;511692594;0;
1627458951.884748;3;512555468;0;
1627458951.8903046;1;513427675;0;
1627458951.8958592;2;514283544;0;
1627458951.9011095;3;515143964;0;
1627458951.9064271;1;516021441;0;
