unixtime;input;ESP_CC;cc_overflow_count;
1627459346.2702641;3;494404401;0;
1627459346.2754745;1;495264464;0;
1627459346.2805696;2;496103083;0;
1627459346.2859354;3;496947663;0;
1627459346.2910182;1;497805628;0;
1627459346.2962818;2;498647605;0;
1627459346.3019435;3;499481574;0;
1627459346.3072343;1;500338975;0;
1627459346.312267;2;501177758;0;
1627459346.3175426;3;502025514;0;
1627459346.3229997;1;502881169;0;
1627459346.3281145;2;503720318;0;
1627459346.3334177;3;504565358;0;
1627459346.3386753;1;505425739;0;
1627459346.3440216;2;506264016;0;
1627459346.3494923;3;507109190;0;
1627459346.354611;1;507966921;0;
1627459346.3600254;2;508809596;0;
1627459346.365167;3;509653004;0;
1627459346.3707063;1;510509943;0;
1627459346.3758519;2;511349668;0;
1627459346.3811598;3;512196840;0;
1627459346.3858793;1;512932169;0;
1627459346.3919926;2;513893154;0;
1627459346.3970892;3;514737750;0;
1627459346.4024231;1;515598671;0;
1627459346.4076946;2;516437498;0;
1627459346.4129674;3;517283408;0;
1627459346.4179246;1;518141407;0;
1627459346.4233654;2;518975735;0;
1627459346.428861;3;519819209;0;
1627459346.434458;1;520676868;0;
1627459346.4392922;2;521518399;0;
1627459346.444554;3;522365741;0;
1627459346.450034;1;523212323;0;
1627459346.455332;2;524052940;0;
1627459346.4606113;3;524898846;0;
1627459346.4660614;1;525758289;0;
1627459346.471319;2;526596500;0;
1627459346.4765937;3;527440652;0;
1627459346.4817774;1;528298699;0;
1627459346.4874158;2;529140178;0;
1627459346.4924014;3;529982720;0;
1627459346.4979694;1;530839711;0;
1627459346.503036;2;531677950;0;
1627459346.508544;3;532524992;0;
1627459346.5137172;1;533380155;0;
1627459346.518983;2;534218652;0;
1627459346.5243611;3;535062936;0;
1627459346.5296876;1;535922643;0;
1627459346.5351267;2;536760608;0;
1627459346.5399303;3;537605448;0;
1627459346.5452306;1;538462851;0;
1627459346.550858;2;539305242;0;
1627459346.5558307;3;540148398;0;
1627459346.560987;1;541005357;0;
1627459346.5666575;2;541844902;0;
1627459346.5723696;3;542682769;0;
1627459346.5771441;1;543538278;0;
1627459346.582551;2;544378657;0;
1627459346.587802;3;545222995;0;
1627459346.5934436;1;546083506;0;
1627459346.5984395;2;546921493;0;
1627459346.6046128;3;547758156;0;
1627459346.6088943;1;548615555;0;
1627459346.6143095;2;549458532;0;
1627459346.6194038;3;550301578;0;
1627459346.625217;1;551158929;0;
1627459346.6302774;2;551999700;0;
1627459346.6356587;3;552846780;0;
1627459346.6406002;1;553702639;0;
1627459346.6458335;2;554541648;0;
1627459346.6510596;3;555387218;0;
1627459346.6566439;1;556246607;0;
1627459346.6618779;2;557084590;0;
1627459346.6672823;3;557928476;0;
1627459346.6727338;1;558786021;0;
1627459346.6779506;2;559627862;0;
1627459346.68321;3;560470524;0;
1627459346.6885643;1;561327287;0;
1627459346.693752;2;562165296;0;
1627459346.6989672;3;563012078;0;
