unixtime;input;ESP_CC;cc_overflow_count;
1627395614.2564235;
1627395619.2623198;
1627395624.2681081;
1627395629.27393;
1627395630.9368672;3;146791090;13;
1627395630.9920127;3;155583262;13;
1627395631.0956182;2;172516821;13;
1627395631.0964386;2;172549633;13;
1627395631.0970972;2;172564059;13;
1627395631.1010773;2;172576589;13;
1627395631.1017377;2;172586375;13;
1627395631.102339;2;172614921;13;
1627395631.1240635;2;177112414;13;
1627395631.1262672;2;177121654;13;
1627395631.1269042;2;177136186;13;
1627395631.1458018;3;180561940;13;
1627395631.1475177;3;180573778;13;
1627395631.2199438;3;192039522;13;
1627395631.2499485;1;196828502;13;
1627395631.2950938;2;204316074;13;
1627395631.2964032;2;204341982;13;
1627395631.3468382;2;212585060;13;
1627395631.3484213;2;212591848;13;
1627395631.3496287;2;212601136;13;
1627395631.3506172;2;212616360;13;
1627395631.351585;3;212698746;13;
1627395631.429964;3;225609774;13;
1627395631.4332197;1;226095699;13;
1627395631.4763114;1;233019375;13;
1627395631.4860373;2;234860654;13;
1627395631.4880085;2;234876894;13;
1627395631.5392761;3;243085998;13;
1627395631.5488865;2;244900379;13;
1627395631.5506952;2;244909329;13;
1627395631.613854;1;254996067;13;
1627395631.6239717;3;256700742;13;
1627395631.6675482;2;263601218;13;
1627395631.6734853;1;264290541;13;
1627395631.718771;3;271785777;13;
1627395631.7360237;2;274742506;13;
1627395631.736929;2;274757596;13;
1627395631.7883801;1;282916103;13;
1627395631.80583;3;285650026;13;
1627395631.837885;2;291076658;13;
1627395631.8393571;2;291091172;13;
1627395631.8521268;1;293155354;13;
1627395631.8891351;3;298978978;13;
1627395631.911634;2;302980844;13;
1627395631.9133067;2;302988198;13;
1627395631.9545364;1;309465437;13;
1627395631.976237;3;313034052;13;
1627395632.0041406;2;317396791;13;
1627395632.0217447;1;320309924;13;
1627395632.0519512;3;324999190;13;
1627395632.0805187;2;329645184;13;
1627395632.113941;1;334936905;13;
1627395632.1403172;3;339179966;13;
1627395632.161472;2;342600155;13;
1627395632.1837952;1;346114682;13;
1627395632.2075453;3;349989282;13;
1627395632.2387784;2;355000558;13;
1627395632.265694;1;359281239;13;
1627395632.2955084;3;364079686;13;
1627395632.3122325;2;366731372;13;
1627395632.3390412;1;370932755;13;
1627395632.3578439;3;373970924;13;
1627395632.3909853;2;379272590;13;
1627395632.413196;1;382856591;13;
1627395632.44518;3;387933756;13;
1627395632.4573371;2;389952948;13;
1627395632.4864738;1;394562189;13;
1627395632.5010278;3;396913430;13;
1627395632.536685;2;402580844;13;
1627395632.5542684;1;405464700;13;
1627395632.5882297;3;410742064;13;
1627395632.5973043;2;412323250;13;
1627395632.6279356;1;417160391;13;
1627395632.639814;3;419077056;13;
1627395632.676447;2;424935656;13;
1627395632.6911411;1;427265005;13;
1627395632.7260368;3;432846336;13;
1627395632.7338107;2;434087500;13;
1627395632.765045;1;439064557;13;
1627395632.7747715;3;440648088;13;
1627395632.8118331;2;446559426;13;
