unixtime;input;ESP_CC;cc_overflow_count;
1627396699.4849482;2;236464557;14;
1627396699.4902034;3;237308411;14;
1627396699.4954705;1;238155427;14;
1627396699.5009031;2;238996884;14;
1627396699.506106;3;239839216;14;
1627396699.5110939;1;240695861;14;
1627396699.516592;2;241534848;14;
1627396699.5220282;3;242380882;14;
1627396699.5273962;1;243236423;14;
1627396699.532968;2;244076134;14;
1627396699.5377808;3;244919052;14;
1627396699.542359;1;245658209;14;
1627396699.548335;2;246615792;14;
1627396699.5537171;3;247460368;14;
1627396699.5588074;1;248317233;14;
1627396699.564234;2;249158352;14;
1627396699.56954;3;250000808;14;
1627396699.574626;1;250857757;14;
1627396699.5799336;2;251697512;14;
1627396699.5854445;3;252543774;14;
1627396699.5908067;1;253398993;14;
1627396699.5963218;2;254237976;14;
1627396699.6010923;3;255082188;14;
1627396699.6065867;1;255940231;14;
1627396699.6121414;2;256777002;14;
1627396699.617311;3;257610645;14;
1627396699.6227489;1;258467318;14;
1627396699.6282253;2;259308697;14;
1627396699.6329436;3;260150239;14;
1627396699.6382256;1;261006780;14;
1627396699.6436665;2;261835638;14;
1627396699.6490977;3;262682582;14;
1627396699.6540275;1;263537399;14;
1627396699.6592753;2;264375672;14;
1627396699.664747;3;265219004;14;
1627396699.6700535;1;266077357;14;
1627396699.6750596;2;266914510;14;
1627396699.680574;3;267757620;14;
1627396699.6862128;1;268614325;14;
1627396699.6913793;2;269455260;14;
1627396699.6966312;3;270296914;14;
1627396699.7021368;1;271153899;14;
1627396699.7073143;2;271992412;14;
1627396699.7126;3;272838056;14;
1627396699.7178056;1;273693889;14;
1627396699.7231858;2;274533194;14;
1627396699.7282739;3;275375990;14;
1627396699.733511;1;276236077;14;
1627396699.738936;2;277073468;14;
1627396699.7440336;3;277917044;14;
1627396699.749534;1;278774187;14;
1627396699.7547314;2;279615434;14;
1627396699.76008;3;280457690;14;
1627396699.7654705;1;281305540;14;
1627396699.770639;2;282145867;14;
1627396699.7759817;3;282992001;14;
1627396699.781165;1;283848004;14;
1627396699.7862144;2;284685955;14;
1627396699.791599;3;285530497;14;
1627396699.7975035;1;286380385;14;
1627396699.802371;2;287217286;14;
1627396699.8076024;3;288060324;14;
1627396699.8131487;1;288917101;14;
1627396699.818016;2;289757662;14;
1627396699.8234363;3;290599462;14;
1627396699.829034;1;291456773;14;
1627396699.8340461;2;292294116;14;
1627396699.8393738;3;293140860;14;
1627396699.844773;1;293995917;14;
1627396699.850036;2;294834230;14;
1627396699.8555105;3;295677800;14;
1627396699.8606515;1;296536119;14;
1627396699.865855;2;297372776;14;
1627396699.871167;3;298216668;14;
1627396699.8764982;1;299072481;14;
1627396699.8819115;2;299913962;14;
1627396699.8868754;3;300755996;14;
1627396699.8923635;1;301612225;14;
1627396699.8975377;2;302450788;14;
1627396699.9027212;3;303296586;14;
1627396699.9091275;1;304151861;14;
1627396699.9136596;2;304991040;14;
1627396699.918841;3;305834014;14;
1627396699.924264;1;306694305;14;
1627396699.9293606;2;307531284;14;
1627396699.9345345;3;308374964;14;
1627396699.9403765;1;309231633;14;
1627396699.9455738;2;310073336;14;
1627396699.9509392;3;310915530;14;
1627396699.9561386;1;311771941;14;
1627396699.9612038;2;312611898;14;
1627396699.966535;3;313457748;14;
1627396699.9721391;1;314313109;14;
1627396699.977082;2;315150784;14;
1627396699.9823115;3;315994516;14;
1627396699.987733;1;316853043;14;
1627396699.9930334;2;317689748;14;
1627396699.9980447;3;318532188;14;
1627396700.0036001;1;319388975;14;
1627396700.00879;2;320229254;14;
1627396700.0140195;3;321070884;14;
1627396700.019804;1;321928319;14;
1627396700.0248768;2;322764868;14;
1627396700.0301921;3;323611402;14;
1627396700.0353556;1;324465757;14;
1627396700.040486;2;325303290;14;
1627396700.0456886;3;326146546;14;
1627396700.0511332;1;327005227;14;
1627396700.056538;2;327841362;14;
1627396700.0616899;3;328684660;14;
1627396700.0670576;1;329540619;14;
1627396700.0721035;2;330381714;14;
1627396700.0776322;3;331223896;14;
1627396700.0826378;1;332079975;14;
1627396700.088048;2;332918740;14;
1627396700.093397;3;333764566;14;
1627396700.0988462;1;334619511;14;
1627396700.1041918;2;335458254;14;
1627396700.1090946;3;336300716;14;
1627396700.1148722;1;337160465;14;
1627396700.1198652;2;337997706;14;
1627396700.1251526;3;338840468;14;
1627396700.1303933;1;339697837;14;
1627396700.1358452;2;340538784;14;
1627396700.1409967;3;341380448;14;
1627396700.146326;1;342236759;14;
1627396700.151609;2;343076340;14;
1627396700.1568952;3;343913583;14;
1627396700.1625884;1;344769392;14;
1627396700.1675873;2;345606459;14;
1627396700.1728914;3;346450753;14;
1627396700.1783493;1;347308548;14;
1627396700.1837006;2;348145031;14;
1627396700.1887376;3;348979410;14;
1627396700.1940172;1;349835587;14;
1627396700.1994007;2;350676278;14;
1627396700.2046282;3;351517902;14;
1627396700.2099426;1;352374685;14;
1627396700.215421;2;353212096;14;
1627396700.2206264;3;354058046;14;
1627396700.225683;1;354912351;14;
1627396700.2310443;2;355750260;14;
1627396700.236266;3;356593408;14;
1627396700.2414975;1;357451279;14;
1627396700.2469077;2;358288294;14;
1627396700.252238;3;359130850;14;
1627396700.2574239;1;359986207;14;
1627396700.2628064;2;360827438;14;
1627396700.2682307;3;361668770;14;
1627396700.2735987;1;362525405;14;
1627396700.279154;2;363364010;14;
1627396700.2841225;3;364209540;14;
1627396700.289082;1;365064283;14;
1627396700.2945201;2;365903432;14;
1627396700.2996938;3;366745672;14;
1627396700.304975;1;367605383;14;
1627396700.3103087;2;368441880;14;
1627396700.3158941;3;369286110;14;
1627396700.3212116;1;370142079;14;
1627396700.3262894;2;370983484;14;
1627396700.33154;3;371825402;14;
1627396700.3368516;1;372682189;14;
1627396700.3425386;2;373522058;14;
1627396700.347385;3;374367954;14;
1627396700.3527546;1;375223405;14;
1627396700.357913;2;376061260;14;
1627396700.3633716;3;376905202;14;
1627396700.368654;1;377763415;14;
1627396700.3741097;2;378599596;14;
1627396700.3795137;3;379442194;14;
1627396700.384692;1;380298963;14;
1627396700.3899505;2;381139310;14;
1627396700.3951354;3;381981070;14;
1627396700.4004068;1;382837907;14;
1627396700.4057891;2;383675438;14;
1627396700.4108908;3;384521832;14;
1627396700.4161403;1;385376527;14;
1627396700.4217086;2;386214158;14;
1627396700.4271557;3;387057000;14;
1627396700.4320185;1;387915711;14;
1627396700.4374263;2;388752128;14;
1627396700.4429278;3;389595556;14;
1627396700.4481275;1;390451347;14;
1627396700.45346;2;391291658;14;
1627396700.4586358;3;392134054;14;
1627396700.4640028;1;392989961;14;
1627396700.469133;2;393828756;14;
1627396700.474381;3;394674320;14;
1627396700.479758;1;395529327;14;
1627396700.485099;2;396368692;14;
1627396700.4903028;3;397211396;14;
1627396700.4957;1;398070947;14;
1627396700.5012438;2;398907374;14;
1627396700.506127;3;399751514;14;
1627396700.5115223;1;400608023;14;
