unixtime;input;ESP_CC;cc_overflow_count;
1627458796.761242;1;340802391;0;
1627458796.7668273;2;341652836;0;
1627458796.7718318;3;342504482;0;
1627458796.7772138;1;343370695;0;
1627458796.7824717;2;344217842;0;
1627458796.7877896;3;345073748;0;
1627458796.7929926;1;345937767;0;
1627458796.7986414;2;346784470;0;
1627458796.8039348;3;347636960;0;
1627458796.809081;1;348505193;0;
1627458796.814809;2;349351170;0;
1627458796.8198497;3;350204252;0;
1627458796.824992;1;351070279;0;
1627458796.8306222;2;351920878;0;
1627458796.8359826;3;352772488;0;
1627458796.8415964;1;353638197;0;
1627458796.8469384;2;354486306;0;
1627458796.85181;3;355341822;0;
1627458796.8574247;1;356206585;0;
1627458796.8626971;2;357055346;0;
1627458796.8679366;3;357908118;0;
1627458796.8733568;1;358778031;0;
1627458796.878827;2;359624830;0;
1627458796.8839936;3;360479014;0;
1627458796.8896513;1;361345951;0;
1627458796.8948703;2;362197820;0;
1627458796.8999255;3;363049770;0;
1627458796.9052742;1;363916315;0;
1627458796.9109104;2;364766204;0;
1627458796.9160402;3;365622428;0;
1627458796.9213328;1;366487545;0;
1627458796.926923;2;367335156;0;
1627458796.9322376;3;368189094;0;
1627458796.9380624;1;369057483;0;
1627458796.9432592;2;369904118;0;
1627458796.948221;3;370756980;0;
1627458796.953744;1;371623971;0;
1627458796.959027;2;372474750;0;
1627458796.9645665;3;373326462;0;
1627458796.970103;1;374192849;0;
1627458796.9755697;2;375040008;0;
1627458796.98044;3;375896292;0;
1627458796.985823;1;376760553;0;
1627458796.9910603;2;377607602;0;
1627458796.9966671;3;378460678;0;
1627458797.001725;1;379329569;0;
1627458797.0069997;2;380176164;0;
1627458797.0124145;3;381029792;0;
1627458797.0179062;1;381896449;0;
1627458797.0233386;2;382747572;0;
1627458797.028644;3;383599736;0;
1627458797.033973;1;384465683;0;
1627458797.0392683;2;385313874;0;
1627458797.0445743;3;386169596;0;
1627458797.050126;1;387034239;0;
1627458797.055378;2;387883486;0;
1627458797.060568;3;388736632;0;
1627458797.0661652;1;389606807;0;
1627458797.0717316;2;390453902;0;
1627458797.0768592;3;391308746;0;
1627458797.082335;1;392167478;0;
1627458797.0872962;2;393020119;0;
1627458797.0927646;3;393872331;0;
1627458797.098199;1;394739326;0;
1627458797.1036263;2;395589553;0;
1627458797.109126;3;396437506;0;
1627458797.1142576;1;397302927;0;
1627458797.1197393;2;398150954;0;
1627458797.1250215;3;399005392;0;
1627458797.1301382;1;399874131;0;
1627458797.1355724;2;400721010;0;
1627458797.14099;3;401574196;0;
1627458797.146386;1;402441677;0;
1627458797.151855;2;403293010;0;
1627458797.157106;3;404145148;0;
1627458797.163007;1;405011953;0;
1627458797.1679626;2;405859534;0;
1627458797.1732395;3;406715846;0;
